"Measurements/Samples","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51"
"Ala_1.0",0,10707.074179969,0,0,0,0,0,0,0,0,6066.82049306935,19818.6277259093,0,0,0,19844.3392672864,0,5326.67802193166,0,0,0,40315.7784713237,0,0,0,0,0,0,0,4616.72647567644,0,0,4700.89310241666,0,0,15617.1596052636,0,0,18302.092563841,0,0,0,13727.5954069051,10021.0847400763,7811.53419154325,0,0,4543.85536005057,0,0,0
"Ala_1.1",0,21569.583021293,0,0,0,0,0,0,0,0,11538.2609358634,28958.22108533,0,0,0,31351.0207376423,0,9375.65306828752,0,0,0,58970.5483519529,0,0,0,0,0,0,0,0,0,0,8017.4219561093,0,0,23542.8220617019,0,0,32600.0532917188,0,0,0,21451.9829186522,17186.5860523668,11088.9933259274,0,0,7639.19659760614,0,0,0
"Ala_2.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ala_2.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ala_3.2",0,7362.30142941258,0,0,0,0,0,0,0,0,6927.94228974606,14577.7558945811,0,0,0,13168.9673384466,0,7449.16237654534,0,0,0,0,0,0,0,0,0,0,0,3167.24995700817,0,0,5078.76634104742,0,0,15561.1254160616,0,0,13696.2057500062,0,0,0,11771.4660011173,7436.68964546955,6835.83853842752,0,0,3973.91727813649,0,0,4018.3688150177
"Orn_0.0",77283338.2831066,88072617.3272761,88518891.570082,90413672.0621375,66431512.0624368,67160810.3909193,96123966.7397102,78653583.1477891,96690933.5945139,12511656.2963055,91593916.0946283,45327589.7289328,96177950.0936594,84602849.9633079,72162713.876683,75956113.8476311,76699175.6564018,80134822.7444827,80542004.819777,73269499.687364,89765779.9359492,84697950.534305,13182911.9173428,70803785.1760874,93087970.0124293,54376109.8879601,101279823.818885,20408995.9684961,32516601.429174,27167400.9142491,72344730.9452377,75877123.9232856,64922147.8277922,85110693.1944259,86205587.3453666,78892763.1998319,88452043.6256478,84606202.3198976,87283891.9368324,74055494.3614099,84622808.3816761,80033499.9368864,77758816.5960357,70084893.630567,73969526.8989018,73909500.8798838,71968320.6056554,84497992.3032162,16778081.8807465,74444193.5197774,31276897.6956069
"Orn_1.1",14144303.416986,17363655.8570679,17288899.4381266,17367465.1076973,11689645.9444845,11784786.0805793,19812332.2912677,14357836.1286713,19183561.9357411,1967733.18183685,17734928.5824676,7738638.5191809,18850066.1298044,15458542.9503932,13113323.8886095,13497630.5580757,14083024.0440856,15101298.8354068,14953098.7014667,13510520.2679434,17158234.1207467,16126025.6944774,1911110.83407984,12750162.7922124,18701648.0198806,9207167.63293782,20139962.5460649,3022650.42723524,4891905.46982408,4410871.43225607,13022789.3507465,14053263.6211266,11099468.2421365,15628503.9644663,17072897.554932,14610227.7883144,16909235.9475611,16073423.7968294,17022569.7341927,13247173.5886095,16178785.0399705,14717054.9756161,14253667.0383476,12867159.8173011,13796030.4644603,13232727.4178023,12775477.2679714,15698252.1317079,2509275.92072826,13280014.810314,5161700.29952733
"Orn_2.2",2085711.4577546,2925058.52119659,2661110.62921792,2584543.52535803,1723981.49217059,1775867.05041108,2931065.41266864,2136086.51212798,2784541.91993333,269326.975147962,2799976.773372,1554377.95734414,2811948.13822777,2250591.94754415,1882358.97217845,2194681.32509398,2042216.67192733,2400073.42128717,2132649.67838879,1926501.74654934,2443591.50451025,2346520.03050711,279223.005276759,1913486.25455017,2701946.57302145,1315449.38099978,2967012.55056829,421379.505191115,673892.820134405,774081.225158503,1917909.63050419,2089419.30703271,1705321.12047226,2373894.31208067,2399283.75785411,2411932.85923813,2543716.51479738,2359614.49764446,2801084.85844624,2005143.2195886,2376779.29226935,2186940.89173225,2339734.42924895,1963142.85341782,2100346.27988686,1969407.58644689,1916161.07828514,2514690.60766022,364225.559532874,1996710.61722295,935006.848214829
"Orn_3.3",187189.630330858,1806566.89539937,237260.692219397,239162.65301099,142656.570458267,160108.182952208,255331.334960874,188568.721825286,251680.316354795,25551.402339337,797023.735348149,1913445.01953502,257931.241352581,242824.7638074,166827.253012085,844062.62638,190847.607396075,657630.3199558,185680.287396792,226696.63008441,225592.173991045,211999.819135801,25091.5453372319,166425.34215679,261179.923460279,124357.824249579,265574.541536246,38746.1648085175,66290.565782141,657153.603280781,206115.549206083,191714.239482228,440011.648384067,204350.089647637,221314.008050531,1391127.46559464,224168.713507098,220067.091525328,1655748.56850715,175849.545594007,268454.601635572,201420.284416338,1219738.31608203,788385.821506788,554158.244053273,214939.762784066,171286.108687652,861199.329316438,104626.457875618,175740.155411242,820430.67316225
"Orn_4.4",0,447636.120564328,0,0,0,0,0,0,0,0,187252.14774368,549242.495432437,0,38653.5783716,0,219653.297536143,0,172256.099465466,0,35328.8530595667,0,0,0,0,0,0,0,0,0,200852.044798453,31410.7282562896,0,104583.133049168,0,0,371928.326728168,0,0,456155.211057279,0,50012.2838367293,0,324254.969584176,194989.145100352,122831.630176801,37990.9187463418,0,215189.87762368,36817.5765401746,0,244023.459491395
"Orn_5.5",0,6027005.89750015,0,81824.0950215312,0,16520.7152997987,0,61581.6613441898,0,56592.4572366664,2509427.03733707,6672140.48812288,0,497530.399868453,41786.9813363834,2541272.11203338,0,1923396.52504325,0,425872.416325981,0,0,0,0,0,0,0,0,0,2587760.42995463,292703.177912986,56846.6358811344,1288224.10241656,0,0,4723434.22589691,79648.0492926958,0,5924204.81160909,16949.8511034931,639218.031794553,0,3744607.70709156,2188494.61008248,1463596.92136832,372681.928265066,0,2923673.92596241,656812.639923624,0,3109040.74366016
