"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24"
"Cit_4",11055.58936801,9378.02716662,23264.73978718,8673.84014367,5004.32867897,13614.26368221,5754.59672546,12621.9758449,22171.20166622,4013.59672842,9469.81481157,11054.460031,9126.12340622,21905.93856708,13482.90044763,7617.46779669,18627.0513861,27525.6021929,3451.12997462,15008.84406989,24249.73741095,2760.25704993,10754.94574844,12368.53571129
"Cit_5",1062.50557211,679.97888281,936.85748037,0,330.47981311,528.58142095,251.47602476,410.79649649,696.26582571,311.28144419,456.11191689,446.05788213,677.14246466,1688.31327896,262.85587886,0,580.69147908,2180.43721771,126.73757348,670.52182262,1440.61519811,179.04991671,1098.10034955,439.83030504
"Cit_6",879.79845945,0,695.76675339,299.01650676,180.15261929,428.5868676,128.15615155,0,1165.81288104,0,888.64386578,1012.39905235,738.97478522,763.47004679,818.51891551,899.82360126,1315.147223,1012.04504392,0,713.58078693,1545.86640345,123.33668241,641.38373048,380.22315368
"Mal_0",3509.72301847,5142.36102217,10427.81522806,17498.22813626,16304.2599686,4199.98650603,12633.72183466,5746.157618,6084.86833168,12847.50053315,4702.32691868,3734.80881854,3980.82882854,7343.81140292,6078.10067095,5106.95952418,9180.51984332,15842.56362901,13049.28208636,4681.53480521,7851.03183919,15031.8710861,6043.25878651,5898.87379199
"Mal_1",1638.48109347,2867.64282616,7613.96300303,1702.08827082,800.73685838,2621.61573677,1061.59548594,2935.87289359,4682.87372835,783.21944356,725.8317853,2229.38768275,2459.71257077,5221.17297416,1020.11929872,401.72068491,6080.854421,11489.53674523,713.7284585,2946.94050623,841.06152931,611.54291638,778.51063712,791.63137549
"Mal_2",4526.32052333,4352.42936473,12988.05301521,241.37185608,741.93335987,5098.52634909,782.37295312,5067.29901946,10827.06442751,0,1973.53957421,3921.67492935,5650.49764361,8270.35917806,2176.14391349,2582.12623003,10571.81600231,20676.79337159,141.20072524,7377.03571026,3316.90557504,390.55462108,2152.32479956,2431.51332311
"Mal_3",1247.57783389,835.62162157,2951.23558446,358.15873178,314.75402192,2074.0223891,25.61797985,1184.71972413,2864.55818247,213.31087623,511.93804822,1434.35204526,2212.09686176,2664.74382314,607.00235443,617.6536563,2909.36071646,6889.83644149,0,2226.24058196,1215.17555243,88.10226046,960.51054342,904.87801027
"Mal_4",16250.74091576,10776.51593523,33338.79460892,11968.29265343,5320.6264849,22323.92103034,7595.26144527,13612.31098705,37189.32288587,3698.49946562,11038.08078842,18252.53361582,23000.0557554,27040.0478886,14678.15097044,10832.02663233,30690.25333722,60451.7924795,3660.53367377,28189.17327305,20926.21808313,7645.15789121,12847.12506677,15670.94925011
"Succ_0",1188.51412697,1632.98424392,3533.66319776,2257.81368835,2492.44929726,1758.60828306,2411.70032246,2073.16621526,3702.45537065,2516.79849587,1552.32776082,1315.53462176,1952.52887131,2272.52752388,1430.6733863,1448.31910908,3454.56192313,5996.01127404,2439.68906408,2461.82070552,2519.55897635,2025.22708048,2058.8892849,1972.91163645
"Succ_1",0,861.62390061,2157.66615927,0,0,0,0,1253.4209603,990.25864017,0,0,0,837.43705398,0,0,0,1576.46813565,3259.87615029,0,1090.44040072,628.37494246,0,0,259.96940516
"Succ_2",753.50758645,765.38825641,3002.58440973,0,0,1018.5671618,284.23178791,1143.76202446,2149.48029917,65.74071015,0,694.82428587,1382.1097552,1606.18064304,450.67789689,0,2950.9369871,6602.63226182,0,1285.59841334,889.8543775,0,456.9229387,682.93789933
"Succ_3",0,0,146.38030207,0,0,222.08349914,0,112.97724359,241.87783162,0,0,0,0,0,0,0,0,1069.25350935,0,0,0,0,0,41.82126893
"Succ_4",2445.67166873,2123.76545839,7891.26587611,1311.44931394,846.92525802,3872.74234415,1180.62233489,3494.87076103,7042.24621588,904.62520489,1232.31219558,2867.4840867,5136.64265404,5378.07137615,1602.33438743,1574.32620494,8124.04946319,20060.46020661,786.70445704,4800.97522236,2737.88378817,991.7673349,1481.9574259,1803.23366927
"Fum_0",6311.91559996,7927.96093161,17690.64419152,27618.46557885,25686.26501644,10448.1536367,24634.81072176,10423.18997513,11015.27897449,23561.96837031,9366.39613601,7680.94207551,7936.86908618,12300.02918774,10753.95787632,9311.91694833,15134.12480733,23282.7661014,25042.16902804,8707.99214169,14892.55126316,22412.35377471,11619.48059924,11098.11699751
"Fum_1",3308.35509821,3338.19440435,12271.06110446,1090.05012306,1049.19372617,3693.07654994,1108.81679664,3594.40173966,6798.70438839,962.74671497,945.89694158,3110.35761317,3824.8951031,7195.54882192,1426.60515769,975.88153871,8739.18813704,16139.55239021,1337.31503766,4261.44056944,1467.70730147,760.37203798,1196.18503621,1398.86107707
"Fum_2",5868.32403619,6104.09438991,18244.88432915,1035.99495717,0,8305.68057247,1265.48289755,6308.92409071,15815.52381792,865.32104481,2675.98837069,7082.00110533,8303.13369548,12145.87419908,3312.64443098,2598.64391984,16004.48144345,29013.15854895,109.83368783,10514.49133062,5447.34507246,255.42335762,3034.51699907,2903.46034953
"Fum_3",1689.52913311,1230.26999917,3529.64172654,542.05388419,267.09711307,3221.43063786,474.3847516,1478.66029485,3495.50392654,0,630.28133454,1754.9148433,2929.4160155,3423.442314,1775.29676178,711.03752023,3676.81026904,7101.92832576,122.88371513,2558.27260489,1134.86224428,0,482.94778553,734.64436611
"Fum_4",21238.67329117,14143.07878731,49390.20851748,15431.536732,8459.78165793,36408.4267504,12007.55303914,17848.18179613,54219.15909306,7060.45532236,16844.61432482,31246.63160709,34494.95540382,37711.11492366,19815.24823798,15942.8187395,42514.01142562,84275.21587997,6416.88341696,40403.17905589,36271.78638227,10442.70618731,17316.1669163,19638.1311488
