"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24"
"Succ_0",1190.16901904,1640.59232437,3555.54026417,2258.31083733,2492.76950303,1761.35503178,2411.76534977,2085.81491404,3712.57314696,2516.19289312,1552.79537784,1316.90032955,1959.21891121,2276.09604311,1431.45063714,1448.91694717,3469.62839564,6029.27136802,2439.9863993,2472.08904684,2524.52449261,2025.60278218,2059.54131342,1975.57966612
"Succ_1",0,873.18049715,2195.61539281,0,0,0,0,1263.58063229,1023.01548781,0,0,0,864.53269755,0,0,0,1623.56998035,3358.40651132,0,1108.40134731,646.16954753,0,0,270.91144309
"Succ_2",760.6144335,762.49489132,2951.7773384,0,0,1016.17227359,294.75321839,1126.37813587,2117.95867763,78.44751013,0,706.07615842,1376.8194311,1621.59227771,458.09747965,0,2907.4510073,6514.4754166,0,1270.89037091,888.22808288,0,465.41709517,671.63747188
"Succ_3",0,0,448.30794052,0,0,365.9567976,0,245.26439706,508.01702526,0,0,0,65.27904524,0,0,0,242.23301085,1816.0808826,0,130.08202487,0,0,0,110.56612121
"Succ_4",2371.81752649,2063.89329702,7580.31826323,1270.92692779,821.18002627,3719.52011134,1144.63838668,3357.15879155,6764.75344406,876.16438693,1194.00180202,2779.70790731,4959.13756425,5215.31741211,1553.7373096,1525.16404168,7817.49959961,19269.99750034,762.84084825,4622.24365906,2658.58659144,961.25300025,1437.32738481,1732.17901915
"Fum_0",6345.58767287,7961.95451537,17815.18282064,27629.47022163,25697.5120707,10485.91819169,24646.0259124,10459.7663636,11084.85106626,23570.94164237,9376.12333454,7712.75560667,7975.95127999,12373.20268682,10768.55696763,9321.93633915,15223.12081365,23447.07004309,25055.55328466,8751.66055479,14907.77420554,22419.9747182,11631.74638425,11112.39668896
"Fum_1",3392.05025256,3426.09492173,12510.84307968,1099.88441898,1040.50643117,3821.69919083,1122.97363057,3683.88425502,7045.11757648,973.57091657,989.67643794,3220.12259918,3952.05482563,7365.24772931,1478.53519119,1017.85018216,8969.94534359,16555.06038343,1326.1785012,4427.93288675,1561.3683473,757.90400765,1244.51862826,1442.65693504
"Fum_2",5813.71076258,6027.11315558,18014.63639028,1040.39108574,0,8256.52684264,1261.3090765,6237.34892649,15635.45614096,860.04946905,2651.17370494,7011.04331324,8244.31933697,12027.00629782,3310.57403179,2577.21258513,15819.10126853,28694.17158812,115.03455546,10404.23249389,5393.64060894,256.56877845,2998.51285344,2878.83028446
"Fum_3",2463.66246151,1742.64995524,5341.73730954,1124.88226033,591.47345794,4538.83252144,926.33149563,2127.46505652,5496.03450558,219.48528742,1265.33351484,2915.53444956,4181.22548163,4785.40398303,2491.63689074,1308.69072143,5217.65629812,10161.87808143,368.28565964,4050.41499577,2508.93412394,404.68912807,1140.67778278,1475.01867177
"Fum_4",20401.78432415,13585.78460602,47444.03577187,14823.47241929,8126.83230536,34973.78873673,11534.40736304,17144.89172566,52082.70666965,6792.36288056,16180.86905603,30015.38904547,33135.71581087,36225.14553291,19034.44805747,15314.60782114,40838.78852743,80954.43383914,6164.03250751,38811.13175442,34842.53276192,10031.33542186,16633.84057281,18864.31012537
