"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51"
"Ser_3.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asn_0.0",7234047.46891428,5890650.50622363,7491117.21216607,6279559.39773961,4700612.39950244,7008139.31323848,7769355.736388,5737464.43751641,7621693.65163772,7693817.0596316,7637521.64978596,5207159.34145116,7628136.01003147,6406826.34605795,5431039.39615682,4305311.48831868,7688348.56875177,7596852.03168404,4541974.34178824,7631805.51751385,7575124.30544748,0,7268704.11708632,6174411.85534599,8174390.28571876,8300913.28795452,8186811.83357818,8023297.31824067,6490930.3098777,4022998.94445818,5605904.86564601,7840000.31013923,4533558.54528214,7661378.88902522,7011475.93658046,5055479.80862293,7042794.72888447,9953850.60711133,6029523.88826214,5809058.60601431,7163411.62654252,6458562.15297398,6183007.14878141,3510810.41568952,6421808.5799078,5395517.72519121,5028012.46374534,6296545.58595773,6230496.60467893,7410863.64114672,4651302.38532067
"Asn_1.1",29106.2160246155,1400.16477321554,43806.1977856392,36556.39381482,1570.35964649685,14015.0916892618,37861.2306916546,12366.6901180674,15608.5656080411,0,830.878074681697,21915.6040790164,56422.3612853254,13432.851216352,17254.7767791256,12136.1549286246,57392.5943844041,40620.937501654,3215.51736413881,35687.9247073989,15891.720900394,0,59499.7397732343,0,23408.0561996376,21450.4310822089,54390.5615145679,42676.302883519,40400.7946596318,0,5435.42485884813,16727.6568784446,14415.4981834136,23861.9758907024,50272.6652886487,0,67282.8454145602,63310.2710681982,7310.15739782734,22190.412411734,30782.5003161678,5155.48322651924,6880.95601531121,5462.48164146568,18818.2957796337,4697.37692690898,2578.69942862452,6372.03511509613,54211.2147084138,0,5954.87754525172
"Asn_2.2",0,9081.51018556534,0,0,3771.00967312581,673.866661122417,3405.73313407793,6230.9941670394,708.940013727612,0,2003.78415440898,7167.23926073799,0,0,0,9314.02013742998,0,0,3285.2204106338,0,0,0,0,4185.66016798263,0,0,1084.04774515602,0,0,2230.71269754555,4026.49447103971,1464.89907832653,6484.8352489695,660.521829008384,12.3285654995215,4834.34958711638,0,1779.43273426436,4910.95819575212,2867.96028930397,2808.66514107904,5623.83125921553,7549.90534642331,5439.04123383232,3886.41362858084,4396.2919856616,2661.35909586669,3904.79817170497,0,2891.8584228351,1314.83519627108
"Asn_3.3",18077.3959600982,23178.014230254,19238.8896415578,24639.8955666404,20450.8707776321,21850.5991388427,21466.8047505027,22518.954171559,15233.9090326644,12942.0356212583,18616.5720631675,17429.6735395072,24826.0699539905,24084.5457644492,25753.8125764924,21300.8789621478,21982.4997440145,19483.0002628368,34014.527385922,13707.3475183934,24586.125432235,0,14671.8037935253,23797.969797752,25405.3838216384,18700.2699116107,24417.1144455239,18690.4522371721,19170.3880516343,19527.7182412822,21569.4087847749,18629.6284974002,25047.2825753587,16807.0137338126,22876.2047617308,19964.9155017625,15128.7014984893,24923.199723905,18714.2957496902,22817.693548628,18388.5208345671,27155.9950616005,21034.0663586285,18567.6085325767,17593.8355899671,25476.6416385504,11570.6385654896,22532.5622098173,13846.5236788168,17006.3425430669,20405.12019038
"Asn_4.4",27321.5364313379,51421.6323696727,33331.2508639077,25147.0740029271,18654.8928869917,26910.8939784668,35022.1463788756,21907.7931566506,32032.0573028116,27466.0973080309,40317.5379674104,35574.718819513,31169.1150513193,29074.4171384319,22085.3605578197,38791.8338484819,29974.0931193028,41828.8954908764,19725.6219373771,33911.3328618926,29695.7960071947,0,30684.5587608655,24333.30730673,33730.1086045128,30888.8936669509,31567.3155852435,31967.1420462645,25432.1773800275,17277.1015167785,21336.7550710583,28327.0557219263,22101.2953043662,33373.6408169283,62348.7963570548,41790.0983138345,36093.9307833072,38303.2964910666,52488.3826777242,21665.4048257441,29561.3066017993,24605.4938801626,46998.138447504,27737.7874361278,31728.5824415472,19104.7517666114,22719.5101194191,30534.7902900125,24663.0894825171,30574.785414341,20633.0944532267
"Gly_0.0",560068.992739727,577821.226917675,551926.65048813,717280.349918306,441149.573317567,639924.912350763,806078.748531911,644836.633886755,738820.941892298,596453.313557139,834117.726474184,767251.074459258,625527.921579109,459122.807236961,405548.260945392,613159.929315676,441191.333670618,692492.781147337,363154.452786841,490574.53597078,768557.276742051,2002222.23150462,607932.900671156,576353.051646936,573553.35091784,727755.122408243,827088.090963781,623306.93903235,472551.048567928,447056.694758502,550844.555260436,565518.05522469,509878.386842196,911176.388253843,727495.996076773,704218.546547793,508139.165065486,638247.816062665,815848.379979441,592667.490833692,510517.764771005,659568.643953356,582248.020127264,489229.325839739,706658.210259733,547991.937895944,474754.513126783,560020.007835316,534769.335748316,618782.233606963,561980.519100835
"Gly_1.1",1753.93432150779,7790.56866958231,5193.85850528948,5176.69042444826,3442.55288372338,4479.93627144425,5187.12791627361,9380.76597873665,355.640424478592,2822.43293903708,7529.1424598171,4702.41429597376,1971.2960671329,2638.64305312126,4586.51109196574,4979.21736377596,2314.44603379742,3778.39166377126,2257.95232567734,3639.31538241052,4660.70954868952,11705.9574550619,1505.59792611191,3623.80419954617,2337.76842966362,4049.39385301382,2594.01457938717,1766.31657023689,2498.05217280708,2690.72069754948,2375.25394798674,8156.1477478356,1909.08590980127,4996.64960382448,5731.40310039268,4513.16359166286,1638.91601446694,3442.17264697317,5905.27810842205,3152.24554397341,2968.03038306152,3061.77108741746,2446.79165708364,1919.38278465652,4341.56057104307,5039.00802778436,3756.40489952639,6374.26900323362,2685.28625781472,4678.72161423529,3254.86412761016
"Gly_2.2",7800.44855637257,0,10359.1892232639,11259.7386130897,0,12520.6364684994,11579.1046750172,10860.8138936754,10637.4764097368,0,10386.0728427974,7557.02464011799,12877.3081315906,11399.7095122833,0,0,10338.6759732546,10541.206273961,0,0,12098.4693720977,38048.1263169771,12950.6314164456,0,11198.2114595973,13240.7387902718,15525.5639924864,11720.8706514675,11001.2101262078,0,8738.06516298885,10413.2208320919,8463.44512268121,14291.3185446039,14035.4429008295,0,0,13604.8071112525,0,0,0,10569.9955159236,0,0,0,9331.9056396666,0,9673.37356982254,10825.1556140819,11684.4535938262,0
"Ala_0.0",0,213416.919924665,0,0,0,0,0,0,0,0,124994.545334124,357666.565964059,0,0,0,391311.231490788,0,93956.1852949366,0,0,0,843287.704295036,0,0,0,0,0,0,0,49499.3056972466,0,0,90455.4886381922,0,0,292779.883940333,0,0,413114.937396438,0,0,0,253031.713683218,220328.347873576,152916.407091775,13027.5842270949,0,63936.388957833,0,0,68507.612463752
