"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51"
"Pro_4.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pro_5.5",0,418422.78010106,0,0,0,0,0,0,0,0,219174.13445954,493803.68454729,0,24102.66575205,0,200508.42511158,0,116077.18351975,0,19119.55126945,0,0,0,0,0,0,0,0,0,128323.71422404,15943.63945172,0,65964.72385612,0,0,392424.35673314,0,0,515678.11467791,0,25672.77885283,0,250193.31369118,141422.50942029,93734.86125787,12930.53931679,0,181611.82862566,28809.77800821,0,135458.50339208
"Asp_0.0",28073714.3539805,31918627.8071387,30046916.5723748,27841526.624566,20116753.5507802,27153101.3809976,30703509.1335182,23156410.9733091,28918279.8034109,24608542.7419358,29546529.5930465,25173198.0186775,31283197.4019479,26916526.0977697,22854262.1572849,24491626.7315452,27646363.2200356,30440129.8063536,21538479.8683723,27312920.7838538,27506762.0950517,267899.37945239,25629124.1655474,25832894.4517189,30188263.6436078,28285473.8519094,31063498.7064993,28766004.970334,23299022.1252839,17886348.0046429,24399337.3926238,27742095.5985982,22243065.3130393,27667548.0907427,27231373.2465664,24804002.4244648,28180157.6059637,10444195.0964816,29758105.933151,25141499.3187307,28811120.6634719,24516836.6721917,29258347.0544459,20088176.1064074,27686462.6980261,24114365.298156,21643649.6084375,27458377.0990585,24342818.6125212,27240600.3083187,20934914.1592663
"Asp_1.0",336457.32589126,410966.49834787,316790.49518524,398292.90342354,259317.29065416,362909.20983985,388507.21816268,294464.39159674,370950.06420974,342179.55905402,454178.17049586,347905.87098697,363889.01411584,400127.35979886,270025.67640075,343474.82103947,341129.322191,399638.46919105,267977.60755101,421321.64339717,362532.81824868,3540.85988892,295299.993474,343366.45860622,471857.46990448,412494.03181099,493358.92588746,377372.38261309,312889.39298868,186179.72297819,351733.43114201,422940.52933201,285650.38976084,330764.07363698,368597.7075279,327561.43083055,394929.78935821,121256.77504949,333421.77527579,359392.84306158,329151.25905308,347843.02328935,422082.59043624,296245.3243223,392921.26793959,375789.86332241,377568.76550922,396008.91091619,270902.98417007,382623.71378766,251220.83169568
"Asp_1.1",988509.3214583,1289426.21965765,1037096.21562324,979289.51959999,742929.19374064,1058275.84047329,1278286.62934877,939717.11491517,1110349.13887539,876421.48000361,1362415.33483114,1007128.36832939,1225890.8613393,1065660.13243621,918839.56765666,963200.91363642,963934.29262637,1283036.77596066,728563.68168669,1120259.54823026,924902.08667647,9228.34406105,1012213.95393491,987078.31856401,1245975.69491202,1129285.4169111,1343228.60567777,1049108.14250132,929222.75980994,594204.35450752,932348.75475768,1239414.85958581,866275.15666202,982230.87929737,954346.66504956,944131.29763085,1214082.42126561,290763.28078259,1178149.07975407,1126715.18100412,965716.53451176,881112.50434816,1233849.09144249,753797.34993969,1206771.30260589,1024788.30404539,820370.54532782,1121880.28514269,807042.99299204,1161084.44257592,807880.11231077
"Asp_2.1",16651.08473768,142717.86296242,18354.50853402,9277.5804663,9055.99270768,9195.08479125,762.86206005,8637.57002156,8957.35301167,9216.76059911,63398.8005905,140911.65367567,15227.59915459,16309.68787225,9675.93482693,105219.09828281,19295.83945983,111484.12749625,10072.28120474,33505.1527001,13563.77097427,0,12548.44468597,19213.29380242,7553.23222281,1423.43975369,1017.67568465,14252.71311454,6054.23887269,70361.30352,20100.28238702,0,61844.98830511,13604.40039894,10233.24551174,114512.26003308,141.84426326,6450.55216012,130526.57399908,5249.03271667,26147.90633478,17069.34403069,158714.26199325,94940.37179749,70934.94786355,20655.41672598,0,71062.6259683,27598.72425853,4172.49890365,79052.45002431
"Asp_2.2",25832.61793382,170576.60338984,36010.35780751,39640.01723394,25506.93214241,9108.87854133,35808.15887232,29739.65013907,29530.88952927,33774.35059098,86148.17418268,157548.59859396,16983.87371438,47813.41976262,13157.88313279,122710.30556259,26925.04513111,108928.34121085,18218.06838214,48589.84932091,36504.58615961,0,18822.60159796,44298.87850648,29084.44489041,17899.04011719,43713.84873137,20737.41057686,17329.83695765,80169.34885104,35551.25602439,24408.33800744,81323.77007561,34382.78792343,34889.11520876,147439.95889375,28590.3878787,7034.77845818,152968.93601888,41287.416329,38879.5229821,8607.95515575,160038.62379298,114742.07362703,100822.92805698,55773.65032273,29785.555655,109120.47888322,32743.77808387,46452.18555182,93301.644567
"Asp_3.2",406.89104721,41248.94040239,0,0,0,1220.76570267,1777.08362688,0,785.65201211,1536.68708249,21342.77291037,41289.99580604,838.34159812,4801.83014029,460.24914624,32113.30247433,398.16982968,25713.87184489,1376.30817627,7314.81748344,400.73890615,0,927.46286208,0,225.54784953,909.58798251,11.83921948,0,451.74540111,19059.07837526,4877.42156353,0,13789.91279415,0,584.37280069,32281.35610986,0,0,33323.70262878,1578.41671887,1490.43607652,1229.06881423,37005.26183348,29545.16727875,24584.58558714,4977.64485426,97.45475788,12222.68581448,7991.19966778,1616.09219867,24006.25043657
"Asp_3.3",1881.94258433,40079.17675205,156.55179201,1886.28067958,1213.38560979,1859.4115602,0,0,2117.96001639,1169.70032971,23286.36675153,37539.11644558,2204.63852552,2238.23405346,3497.88891803,30230.36390252,495.12491726,24831.86642273,0,9093.98440989,1196.7675506,0,2563.81900188,0,2164.59119905,1146.22472159,681.491043,2782.54480004,0,17586.77343223,6205.66879292,1792.91079862,19372.01042708,3378.78378081,1977.62319084,25586.41247144,4953.81666891,3055.39286275,35408.55061144,0,3810.78303215,7944.32772111,35950.25857823,27189.14685659,20769.92779657,5539.76595551,791.46759098,15819.38609984,5756.72387765,0,19532.11557168
"Asp_4.3",0,956973.46468512,0,39389.44767032,0,13107.94377854,0,32095.02099632,0,27009.94486098,660808.69899584,1106161.50646433,10147.58533549,207679.1680588,12879.74544899,825629.58656606,0,723661.53689968,0,285757.81246745,0,0,0,0,0,0,10587.90005662,0,0,506506.9161782,236933.96022015,38968.23915108,475598.44821825,9647.45690689,10461.92217349,885744.42752973,34087.82348402,0,878940.22290023,12509.26802411,144854.3213654,0,1103019.249485,689384.1462394,642043.87205536,251369.40119669,0,538439.91167556,242246.82247312,0,624387.94110648
