"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51"
"Pro_0.0",0.57862424,0.09476773,0.66073945,0.73398223,0.5218383,0.73270155,0.87219673,0.6103332,0.74795166,0.63044168,0.04347512,0.10516835,0.65179105,0.5215168,0.46251156,0.04746669,0.52373265,0.02612137,0.40705537,0.55233181,0.9299894,-19.74630187,0.66350043,0.65075335,0.61146009,0.77305374,0.8384567,0.68183139,0.54113293,0.02683227,0.55951872,0.56143637,0.01586563,0.86123637,0.78483159,0.08929331,0.63444073,0.55341363,0.11747138,0.60572965,0.49472078,0.72101179,0.06527879,0.03341614,0.02290515,0.53116686,0.54989551,0.03937167,0.65466035,0.73588076,0.03178076
"Pro_1.1",-9.80742881,1.54608748,-11.19424254,-12.43269468,-8.84091591,-12.41016513,-14.7750797,-10.34662516,-12.67550252,-10.68398726,0.70927452,1.71576822,-11.04632273,-8.83572168,-7.83521642,0.77439505,-8.87233004,0.42615697,-6.89331554,-9.35803162,-15.7367141,-211.62213158,-11.23922468,-11.02135556,-10.35841787,-13.09374878,-14.2038916,-11.5540795,-9.16500848,0.43775484,-9.48143456,-9.51214707,0.25883973,-14.60062215,-13.29801228,1.45677513,-10.74410074,-9.37760765,1.91648593,-10.25898802,-8.38965867,-12.21100762,1.06499038,0.54516732,0.37368584,-8.99696089,-9.31367113,0.64232879,-11.08506909,-12.45728102,0.51848699
"Pro_2.2",-104.92460928,-26.39118801,-119.82951954,-133.11966423,-94.63905328,-132.88982945,-158.18358075,-110.66946275,-135.63521964,-114.32593847,-12.10707508,-29.28758047,-118.19593416,-94.58043926,-83.88146692,-13.2186603,-94.98459057,-7.27435469,-73.83100093,-100.16826543,-168.71564467,4214.38051696,-120.33547487,-118.02926778,-110.8951034,-140.20815887,-152.06333475,-123.64740939,-98.14641916,-7.47232645,-101.46686868,-101.81938373,-4.41830629,-156.16311177,-142.33037876,-24.86665655,-115.07344704,-100.36037602,-32.71376358,-109.86268511,-89.69766463,-130.77304835,-18.17902396,-9.30582087,-6.3786904,-96.33712739,-99.73496919,-10.96433423,-118.74562377,-133.48606327,-8.85039673
"Pro_3.3",2092.95260286,-279.81811315,2388.98443494,2653.32332462,1886.75757982,2648.5283919,3153.20410804,2207.99216495,2705.04418131,2280.04178076,-128.3678061,-310.52772253,2357.35835598,1885.65093137,1672.13869384,-140.15362183,1893.47250964,-77.12787328,1471.16321809,1997.11457528,3358.7051621,296.49782446,2398.61261068,2352.14693726,2210.62434076,2794.41435926,3031.29892543,2465.73845924,1955.96709747,-79.2269104,2023.42418466,2030.00065269,-46.84602026,3115.79507879,2837.9317996,-263.65394822,2292.99147266,2001.26645544,-346.85454843,2189.441974,1790.32957412,2606.04341267,-192.74691926,-98.66692004,-67.63140452,1920.09722963,1987.69020611,-116.2516563,2365.7912316,2658.69027022,-93.83819
"Pro_4.4",123.371011,5629.0707995,149.76113677,170.6740415,118.39269462,171.86045182,200.65622837,127.03797398,162.9379273,137.4857885,2582.3613089,6246.85269897,141.19440491,118.12925524,105.98984691,2819.45529273,120.03042326,1551.57310744,97.61463216,124.69792384,244.81207012,15.13959941,153.57544892,154.07409001,140.25223678,181.12230689,192.23759392,150.10991164,127.7344312,1593.79921067,123.40823238,126.73051176,942.39633657,178.22880537,175.40180447,5303.89803724,151.94995555,122.45754579,6977.63553727,143.11840717,97.95988258,171.1828198,3877.46898395,1984.8717876,1360.53366968,124.32823087,129.35328709,2338.62203019,159.70614054,184.5609497,1887.73274639
"Pro_5.5",5.68405259,0,6.91817082,7.7939247,5.46331408,7.87278966,9.23922572,5.82660765,7.55570823,6.23240156,0,0,6.48186319,0,4.8308791,0,5.51596072,0,4.44740912,0,11.10492283,0.70582704,7.03155695,7.05327456,6.43223115,8.21090181,8.81970819,6.88998318,5.83343048,0,0,5.78067352,0,8.22409502,8.0406371,0,6.96884517,5.60830428,0,6.51433104,0,7.79656125,0,0,0,0,5.90070768,0,0,8.39539988,0
"Asp_0.0",-0.02795209,0,0.24532497,1e-08,0.07654071,0,0.84176314,0.37221662,-0.02889611,0,0,0,0,0,1e-08,0,-0.02743383,0,1.09307515,0,-0.0271732,-10.98068835,-0.02657067,1.05689476,-0.03051351,-0.02697226,0,-0.01563511,0.14237628,0,1e-08,3.34261373,0,0.10333603,0,0,0,0.04626797,0,1.85397369,1e-08,-0.02963827,1e-08,-1e-08,1e-08,0,2.79193684,1e-08,0,1.32985675,0
"Asp_1.0",0.81900945,0,-7.18813754,0,-2.24267896,0,0.87526059,-3.23224168,0.8466698,0,0,0,0,0,0,0,0.80382426,0,0.62818063,0,0.79618756,-101.04602797,0.77853299,-8.46667185,0.89406056,0.79030009,0,0.45811623,0.64395562,0,0,-97.94016328,0,-3.02779435,0,0,0,-1.35567359,0,0,0,0.86841551,0,0,0,0,-81.80506964,0,0,0.83521994,0
"Asp_1.1",0.22051275,0,5.42875353,0,1.99062458,0,-6.6406307,0.0342834,0.22796012,0,0,0,0,0,0,0,0.21642424,0,-8.62321968,0,0.21436811,-319.55828229,0.20961474,0.1661464,0.24071976,0.21278295,0,0.46711933,-1.12319989,0,0,-40.27360411,0,1.96756692,0,0,0,1.17415384,0,-14.62591337,0,0.233815,0,0,0,0,-33.7254554,0,0,-10.49117886,0
"Asp_2.1",-6.46112799,0,-159.0650456,0,-58.32624144,0,-6.90489062,-61.54341533,-6.67933921,0,0,0,0,0,0,0,-6.34133273,0,-4.95568815,0,-6.28108714,1197.31749944,-6.14181104,-182.37629649,-7.05320271,-6.23464118,0,-13.68681718,-5.08013636,0,0,1180.03564595,0,-57.65064114,0,0,0,-34.40326282,0,0,0,-6.85089011,0,0,0,0,988.17179198,0,0,-6.58901178,0
"Asp_2.2",4.19866748,0,-58.50824034,0,-19.12750969,0,-126.44075944,-64.64733178,4.34046878,0,0,0,0,0,0,0,4.12082032,0,-164.19019443,0,4.08167062,3316.8069736,3.99116413,-183.76595601,4.58341839,4.05148841,0,1.3374879,-21.3862589,0,0,0,0,-23.7063021,0,0,0,-11.47661105,0,-278.48433043,0,4.45194857,0,0,0,0,3.13095734,0,0,-199.75702345,0
"Asp_3.2",-123.0229427,0,1714.31911061,0,560.44507946,0,-131.47239383,741.50809471,-127.17778789,0,0,0,0,0,0,0,-120.74198408,0,-94.3586538,0,-119.59487952,147.86109451,-116.94299655,2004.59042158,-134.29632635,-118.71052637,0,-39.18902799,-96.72820685,0,0,0,0,694.60586221,0,0,0,336.27013107,0,0,0,-130.44419849,0,0,0,0,-91.73853076,0,0,-125.45791079,0
"Asp_3.3",-50.58779897,0,-50.91817709,0,-35.83750816,0,1523.42612315,473.99300664,-52.29629714,0,0,0,0,0,0,0,-49.6498546,0,1978.25157372,0,-49.17815807,265.34949199,-48.08768731,1341.2611812,-55.22348442,-48.81450656,0,-51.40001054,257.67312401,0,0,0,0,0,0,0,0,-19.70393396,0,3355.32865933,0,-53.63946549,0,0,0,0,-37.72345426,0,0,2406.77981644,0
"Asp_4.3",1482.24643287,0,1491.92666795,0,1050.05593684,0,1584.04995447,0,1532.30623733,0,0,0,0,0,0,0,1454.7642194,0,1136.8836977,0,1440.94328801,11.34510515,1408.99197886,1422.52705393,1618.07420884,1430.28812668,0,1506.04461599,1165.43334446,0,0,0,0,0,0,0,0,577.334583,0,0,0,1571.66170516,0,0,0,0,1105.31504936,0,0,1511.58423513,0
