"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51"
"Ser_3.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asn_0.0",7234049.01104829,5890650.50622363,7491117.96750933,6279560.27015336,4700612.39950244,7008139.31323848,7769355.736388,5737464.43751641,7621693.65163772,7695458.15940139,7637521.64978596,5207159.34145117,7628136.46097273,6406826.88866986,5431039.7444101,4305311.48831868,7688349.24031007,7596852.16127712,4541974.34178824,7631809.73426204,7575124.55023506,0,7268706.25268844,6174688.16754854,8174390.56268197,8300913.74340166,8186811.83357818,8023299.57979911,6490931.03495931,4024204.99279891,5605904.86564601,7840000.31013923,4533558.54528214,7661378.88902522,7011475.93658046,5055712.70539945,7042797.44629483,9953850.60711133,6029523.88826214,5809058.60601431,7163411.62654252,6458562.15297398,6183007.14878141,3510810.41568952,6421808.5799078,5395517.72519121,5028012.46374534,6296545.58595774,6230500.18099823,7411182.59013701,4651302.38532067
"Asn_1.1",342190.968498239,256246.866144255,367951.932623001,308295.625635934,204932.545736365,317207.614287674,373986.193309068,260586.115899635,345345.236274267,313817.51385203,331252.314050461,247192.486535407,386472.481502363,290652.618540087,252244.187281202,198396.472021557,390064.678625583,369292.869403114,199714.558937515,366186.864864038,343632.521079902,0,374129.552488708,263874.17562243,377077.32682054,380607.203329004,408575.891017392,389961.717694744,321273.199443155,159865.983550853,247963.200305784,355908.909556057,210550.447883279,355315.545536191,353609.539932983,215976.392567102,372183.974447636,493942.845600056,268164.92583775,273507.21048857,340692.5555229,284571.696859675,274375.857428277,157350.367815028,296644.442772512,238123.19178406,220105.166069979,278778.94007718,324036.119144144,316865.360144722,207183.768773113
"Asn_2.2",4422.36533319216,13261.4706083133,5895.81976323465,4688.79199089671,7121.22864754638,6047.48884946893,10087.3778881576,10659.2692469745,6564.90738480585,3205.83070798127,7391.36651931625,11533.1392449379,6717.07137298016,4369.89051178438,4010.60230210584,12729.6156722043,6561.99351378507,6515.7002941559,6577.4752621861,2141.02587989768,5578.57831100937,0,4817.33686329737,8654.77686848365,6209.70281660218,6049.86607427836,8595.02678401276,4670.45719239212,5114.69997624774,5645.46199618738,8137.53049033989,7510.40286006957,10134.5910706294,6812.14339870374,6564.74885642269,8496.83239774139,4307.87139107234,10820.0801845057,9380.15367329714,7665.23800844217,8835.32504830216,10324.246947461,12112.9012584517,8080.45054726531,9004.3525285795,8335.71392826163,6274.09137247512,8530.97137683379,2422.74866585517,8249.71213993768,4772.70972715419
"Asn_3.3",18191.0085085404,23404.7915934676,19324.9059908654,24722.2979414761,20556.805747285,21905.5947623292,21593.1192075899,22687.1433331836,15293.330580107,13164.5927915925,18698.8970730839,17618.7798264505,24904.0314793244,24145.2019623005,25802.4540350615,21528.4228440893,22070.6564605223,19541.3480067607,34109.7277803733,13941.058761875,24640.6709806842,0,14821.9472107672,23929.6554625218,25466.995557879,18769.5614552629,24501.1229350132,18843.966284896,19248.832845312,19639.4165745352,21686.8125205992,18706.9011291964,25215.5831887329,16868.485406329,22929.631485169,20103.4149100657,15305.6162496475,25034.3318025981,18853.6355284349,22916.9455930233,18496.3661598723,27312.1724993218,21231.1172694337,18704.9642911962,17717.0388011904,25600.7198850612,11654.5825222591,22651.1606829886,14051.9152427124,17117.8272495815,20459.2134459476
"Asn_4.4",27522.1730252841,51673.5648595011,33541.9982257253,25416.5594816526,18876.6717069349,27147.5362697959,35255.010710454,22152.2730883178,32197.1602633857,27612.4926127558,40519.3602226215,35764.2597147047,31439.3532134312,29336.8321309456,22365.192526573,39023.4557014802,30214.2739288003,42040.3114657121,20094.0419464029,34073.1486870281,29962.7369731666,0,30850.2699574582,24590.8867288134,34006.0397017447,31092.8676518082,31831.8517554981,32176.7165778833,25642.0534651973,17486.5427001652,21570.6943102064,28528.9824219715,22373.1161796424,33555.7640113005,62596.4997393207,42006.3393121238,36266.4189807904,38573.453306651,52691.560653219,21912.7370197419,29760.7796371196,24900.0688598858,47226.7193175224,27939.360823382,31919.548550675,19380.9864292798,22845.1242993856,30779.1549317192,24824.3737356187,30758.7191305331,20854.0951333983
"Gly_0.0",560068.992739724,577818.500669185,551926.650488138,717280.349918308,441147.462695907,639924.912350763,806078.748531908,644836.633886755,738820.941892298,596450.43854451,834117.726474182,767251.074459263,625527.921579106,459122.807236963,405546.337230734,613156.997999478,441191.333670616,692492.781147334,363152.708607099,490572.186679105,768557.276742058,2002222.23150462,607932.900671152,576350.283973802,573553.350917842,727755.122408241,827088.090963782,623306.939032345,472551.048567931,447054.546571524,550844.555260436,565518.055224688,509878.386842196,911176.388253849,727495.996076771,704215.165854655,508136.706816321,638247.816062669,815844.471282786,592664.638123745,510515.310422164,659568.643953359,582245.209990668,489226.963052832,706654.815671567,547991.937895944,474752.242328526,560020.007835319,534769.335748323,618782.233606968,561977.817197218
"Gly_1.1",13869.042422826,20354.1920447339,17132.8358836765,20692.5091733199,13031.5576789361,18322.4442309176,22623.7853696116,23329.521629373,16337.413553458,15785.0226173662,25572.3238472137,21299.1726032943,15502.3761457664,12570.1381252652,13403.3475255076,18307.3376658454,11858.0572139711,18758.019194909,10150.9447841802,14302.4183458764,21285.7229139774,55016.9407303012,14656.0720738596,16150.6161216505,14744.5628394921,19791.797188234,20485.1347114225,15249.353561342,12720.0196643266,12407.18440185,14290.8240304399,20389.1270077186,12938.498098644,24706.7220880378,21468.2011556288,19819.1835569065,12681.2910157346,17248.4025709015,23638.3432875972,16032.968691641,14063.6525684058,17329.2015742241,15100.2972023003,12551.2305020257,19700.3853064474,16892.8718415577,14075.9210456325,18488.3174897067,14253.1259272845,18063.8826363612,15468.9661782385
"Gly_2.2",7884.93549216701,0,10479.9289533568,11399.6357300894,0,12643.9486444694,11729.5023158612,11037.7066852505,10727.7501778425,0,10565.0810756385,7697.63768965069,12971.8033770511,11481.9565347252,0,0,10415.3189454314,10663.0801222336,0,0,12238.7841539419,38408.9546858094,13038.031532184,0,11290.5903864095,13369.6687125074,15650.372896466,11812.8890839038,11083.5073912716,0,8828.1930485423,10567.5897999898,8543.73883990171,14451.9503434061,14182.5346654803,0,0,13716.6989311351,0,0,0,10680.2671258916,0,0,0,9450.51026647295,0,9807.82705990879,10916.7562460349,11807.4425079425,0
"Ala_0.0",0,213414.263729154,0,0,0,0,0,0,0,0,124993.122239305,357662.530520673,0,0,0,391307.107911218,0,93954.940606348,0,0,0,843359.094438828,0,0,0,0,0,0,0,49627.9587589572,0,0,90454.4463650657,0,0,292776.681663108,0,0,413127.472114569,0,0,0,253028.80879424,220326.233209837,152914.897779259,13072.6017801729,0,63935.2926416216,0,0,68744.3410500144
