"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51"
"Ser_3.3",4461.67521712,1686.82430672,4501.04135708,4822.79176537,3291.51799606,4213.01829974,5176.66525245,4101.54764703,4841.52442125,4147.41417447,4145.77595416,2296.43926014,5121.19038206,3772.17287366,3520.28411674,1892.89394911,4460.05653388,4033.21814999,3293.05203866,3902.37597787,5279.51010778,6829.56539505,4151.35692015,3875.72406162,4680.15448263,4527.62725412,5449.93919064,4600.84053326,4295.62957311,2621.23772915,3231.74053172,4919.13195972,2877.46463702,5995.61832758,4906.62536949,2559.17037582,3950.84233685,5937.91410765,1785.89630118,3906.03912809,4035.87786228,4926.60651876,2322.25704429,1706.11305431,3657.63705548,3565.67906268,3003.44816739,3422.64902102,3351.95340312,4405.07747493,2934.31894137
"Asn_0.0",-2.05895879,0,-1.29986691,-1.57982848,0,0,0,0,0,-1644.07256887,0,0,-1.15881221,-1.23038229,-1.08821774,0,-1.29787052,-0.67411292,0,-4.61116707,-0.94582568,0,-2.55303471,-282.2587492,-0.99964663,-0.98467299,0,-2.7959745,-1.27216214,-1206.79311991,0,0,0,0,-0.61915811,-240.14727933,-3.14695941,0,0,0,0,0,0,0,0,0,0,0,-3.97808799,-322.77566394,0
"Asn_1.1",-157.58537499,0,-99.48718503,-120.91444693,0,0,0,0,0,18973.7910555,0,0,-88.69136084,-94.16908005,-83.28831172,0,-99.33438829,-51.59420262,0,-352.9223102,-72.39013009,0,-195.40018659,3312.6461043,-76.50939412,-75.36336514,0,-213.99393337,-97.36676077,14163.16956963,0,0,0,0,-47.38815725,2818.4173266,-240.85706879,0,0,0,0,0,0,0,0,0,0,0,-304.46869132,3788.16085866,0
"Asn_2.2",2119.75668426,0,1338.24998333,1626.4783906,0,0,0,0,0,3359.4903143,0,0,1193.03015897,1266.71359509,1120.35114615,0,1336.19464087,694.0184384,0,4747.3277651,973.7544626,0,2628.42190563,-66.89334769,1029.16466462,1013.7488775,0,2878.53533785,1309.72713671,-286.00152162,0,0,0,0,637.4408989,-56.91322412,3239.88429479,0,0,0,0,0,0,0,0,0,0,0,4095.55482926,-76.49557286,0
"Asn_3.3",-64.18687193,0,-40.52261325,-49.25025638,0,0,0,0,0,-107.60866347,0,0,-36.12531315,-38.35646983,-33.92457072,0,-40.46037686,-21.0150877,0,-143.750517,-29.48557891,0,-79.5894083,1.0134234,-31.16341654,-30.69662186,0,-87.16291849,-39.65893285,4.33287682,0,0,0,0,-19.30190274,0.86222615,-98.10467392,0,0,0,0,0,0,0,0,0,0,0,-124.01463586,1.15889556,0
"Asn_4.4",1.29548078,0,0.8178661,0.99401573,0,0,0,0,0,2.2114411,0,0,0.72911559,0.77414692,0.6846981,0,0.81660998,0.42414658,0,2.90131028,0.59510613,0,1.60634948,-0.01364356,0.62896985,0.61954855,0,1.7592053,0.80043448,-0.05833283,0,0,0,0,0.38956944,-0.01160801,1.98004226,0,0,0,0,0,0,0,0,0,0,0,2.50298187,-0.01560203,0
"Gly_0.0",0,-21.4237959,0,0,-15.74525425,0,0,0,0,-20.84132706,0,0,0,0,-14.82144307,-21.9319644,0,0,-12.82098957,-17.46321081,0,0,0,-20.35768458,0,0,0,0,0,-15.76142864,0,0,0,0,0,-24.89492826,-17.56867062,0,-29.00625633,-20.79387245,-17.97328276,0,-20.26972327,-16.99817227,-24.93549536,0,-16.95725343,0,0,0,-19.78206496
"Gly_1.1",0,-316.83321739,0,0,-232.8541397,0,0,0,0,-308.21917543,0,0,0,0,-219.19203841,-324.34844304,0,0,-189.60763975,-258.2607346,0,0,0,-301.06666132,0,0,0,0,0,-233.0933403,0,0,0,0,0,-368.16725916,-259.82036357,0,-428.9690567,-307.51737659,-265.8041101,0,-299.76581504,-251.38335124,-368.76719975,0,-250.77820883,0,0,0,-292.55391149
"Gly_2.2",0,5274.82756174,0,0,3876.69400353,0,0,0,0,5131.41587559,0,0,0,0,3649.23922768,5399.94550143,0,0,3156.70058935,4299.6780836,0,0,0,5012.33657286,0,0,0,0,0,3880.6763571,0,0,0,0,0,6129.46717499,4325.64371294,0,7141.73160898,5119.73191169,4425.26467881,0,4990.67931159,4185.1793211,6139.45534218,0,4175.10455096,0,0,0,4870.61125826
"Ala_0.0",0,0.14730357,0,0,0,0,0,0,0,0,0.13128712,0.61233654,0,0,0,0.13247984,0,0.38137223,0,0,0,-80.73099736,0,0,0,0,0,0,0,-249.80852784,0,0,0.16016772,0,0,0.51987633,0,0,-17.83900938,0,0,0,0.45109878,-0.19118785,0.1134406,-92.13185249,0,0.44330209,0,0,-485.06038859
