"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51"
"Ala_1.0",0,3701.35039129,0,0,0,0,0,0,0,0,1946.76847124,8264.50401874,0,0,0,7033.57931543,0,2299.44518791,0,0,0,12492.62384118,0,0,0,0,0,0,0,3189.34588598,0,0,1748.6898014,0,0,6103.28126266,0,0,4532.43358222,0,0,0,5524.6935642,2702.03499324,2812.72939986,0,0,2566.7268318,0,0,0
"Ala_1.1",0,12027.37314907,0,0,0,0,0,0,0,0,5849.87514326,12305.77983045,0,0,0,13105.19953506,0,5162.61426215,0,0,0,18864.71849601,0,0,0,0,0,0,0,0,0,0,3869.91902704,0,0,9897.71545714,0,0,13296.00453083,0,0,0,9759.96398912,6872.78366358,3852.55986553,0,0,4885.67452006,0,0,0
"Ala_2.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ala_2.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ala_3.2",0,7984.46328701,0,0,0,0,0,0,0,0,7544.73959686,15836.5203776,0,0,0,14292.00810109,0,8120.87808373,0,0,0,0,0,0,0,0,0,0,0,3443.47080271,0,0,5530.22361481,0,0,16940.90837263,0,0,14877.72176595,0,0,0,12800.82546671,8078.33745244,7437.51533853,0,0,4319.26685967,0,0,4388.25338739
"Orn_0.0",89241789.6092451,101700520.236369,102215887.249656,104403846.403302,76710812.4327618,77552947.2076299,110997746.511678,90824062.4015924,111652429.466583,14447646.3101276,105766686.627412,52341347.3607021,111060065.191571,97693858.9524936,83328825.3419986,87709171.4525959,88567229.4466939,92534472.2285107,93004692.3391268,84606844.4630591,103655701.84023,97803705.3437274,15222769.1439258,81759625.6533976,107491946.026177,62789996.45489,116951385.827013,23566980.3298748,37548052.8466161,31371144.5202327,83538981.7717178,87617981.6930971,74967866.396132,98280320.6894598,99544625.5410501,91100222.7910704,102138695.141246,97697754.0914243,100789751.543828,85514487.1244514,97716905.6336613,92417493.8573075,89790815.1337756,80929468.8774031,85415190.2776096,85345876.1417623,83104350.3009554,97572776.1584798,19374235.8024809,85963330.7791852,36116523.6545977
"Orn_1.1",7545771.54372497,10036685.885991,9899406.70377879,9774755.61336173,5945097.38375477,5972110.64145696,11948531.6936166,7636530.15510934,11158087.0110697,849649.59502234,10065040.7273196,3782392.42619421,10831341.0074954,8231293.29061094,6937474.15742201,6950081.14313005,7541473.0489919,8326779.46659922,8109166.75660049,7270429.58779309,9606817.77267536,8991078.26279862,707941.49289396,6672612.05686519,11011354.1882163,4449314.68391539,11740697.1372753,1169879.69330964,1951766.94538633,2004491.71078449,6812374.60605878,7600549.33861696,5435385.95138832,8369601.11490111,9913051.87364234,7900943.03801437,9468597.60264321,8940808.76369262,9732498.82074471,6876816.50170447,9060712.68517932,7894479.55711523,7618138.0475501,6889604.08170674,7520526.05231851,6876885.26914308,6569468.58969345,8520016.00358579,989904.05688993,6870549.83651853,2404255.96921105
"Orn_2.2",355705.53643044,900492.48746612,596867.54744207,489909.31623567,278505.86844037,324824.02506706,576547.12236168,381368.87173578,477244.37358447,15718.03645679,693734.16771949,656172.39698969,550265.81093057,358085.69071904,267459.32373882,565855.1494032,316664.19305053,596830.61933076,298495.89468451,270055.59790263,354758.6868399,388640.93635379,29679.31910626,352131.19551625,459165.98801878,160670.01731636,552398.11564859,26166.69055338,36242.97258857,237205.36054353,320869.32500186,378756.19603419,336452.59026139,473606.6431957,333368.85228395,673452.17110988,504919.0158222,411042.79269774,800620.92027164,382941.65346817,421794.12788414,392163.41629566,637098.14783755,403701.68706461,434340.2254117,347530.3038639,346298.8905748,636393.82467982,39469.16757591,367349.37949181,314195.73034542
"Orn_3.3",0,1736309.97308663,0,0,0,0,0,0,0,0,585932.70201495,2030768.22663717,0,14939.72211518,0,718720.71482935,0,474817.65747839,0,33745.27082151,0,0,0,0,0,0,0,0,1627.71650739,670912.04961418,12881.40495481,0,311218.31830787,0,0,1322112.77177552,0,0,1577464.46996325,0,26093.5879464,0,1133393.85110323,678892.56701597,391131.54053055,17472.66325715,0,697504.28898158,80683.5154355,0,840692.24176484
"Orn_4.4",0,312468.63028301,0,0,0,0,0,0,0,0,127698.36395877,415779.61628151,0,20016.81407854,0,159009.18606413,0,125866.30433499,0,17854.02271271,0,0,0,0,0,0,0,0,0,157365.88512313,15249.00363202,0,72446.51410698,0,0,272491.14546887,0,0,339830.77052368,0,30168.82988262,0,236988.75082607,137493.24857549,80949.55457852,21772.33979112,0,152274.13755725,31163.0452489,0,188503.58408484
