"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51"
"Orn_1.1",-1.597e-05,0,-1.844e-05,-1.342e-05,-2.502e-05,-1.465e-05,-2.13e-05,-1.803e-05,-1.658e-05,-2.75e-06,0,0,-1.489e-05,0,-1.703e-05,0,-1.096e-05,0,-1.939e-05,0,-1.33e-05,-1.587e-05,-7.49e-06,-1.97e-05,-9.2e-06,-6.76e-06,-1.783e-05,-4.31e-06,2.24e-06,0,0,-1.361e-05,0,-2.145e-05,-1.407e-05,0,-1.919e-05,-1.214e-05,0,-1.868e-05,0,-1.296e-05,0,0,0,0,-1.598e-05,0,0,-1.808e-05,0
"Orn_2.2",-0.00785593,0,-0.00697431,-0.00634839,-0.01178309,-0.0063889,-0.00979479,-0.00824713,-0.00884182,-0.00580553,0,0,-0.00683483,0,-0.01009412,0,-0.00640545,0,-0.01181896,0,-0.00846709,-0.00846166,-0.005144,-0.00846534,-0.0055337,-0.00519614,-0.00859093,-0.00648284,-0.00073069,0,0,-0.00648722,0,-0.00851428,-0.0096886,0,-0.00813857,-0.00635638,0,-0.00767098,0,-0.00625771,0,0,0,0,-0.00708138,0,0,-0.00776237,0
"Orn_3.3",Inf,0,Inf,Inf,Inf,Inf,Inf,Inf,-Inf,Inf,0,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,Inf,Inf,-Inf,-Inf,Inf,-Inf,Inf,-0.32879011,0,0,Inf,0,Inf,Inf,0,-Inf,Inf,0,Inf,0,-Inf,0,0,0,0,Inf,0,0,Inf,0
"Orn_4.4",-Inf,0,-Inf,Inf,-Inf,Inf,-Inf,Inf,-Inf,-Inf,0,0,-Inf,0,Inf,0,-Inf,0,-Inf,0,-Inf,-Inf,Inf,-Inf,Inf,-Inf,Inf,Inf,Inf,0,0,Inf,0,-Inf,-Inf,0,Inf,-Inf,0,Inf,0,-Inf,0,0,0,0,-Inf,0,0,-Inf,0
"Orn_5.5",Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,0,0,Inf,0,0,0,Inf,0,Inf,0,Inf,Inf,Inf,-Inf,Inf,Inf,Inf,Inf,-Inf,0,0,0,0,Inf,Inf,0,0,Inf,0,0,0,-Inf,0,0,0,0,Inf,0,0,Inf,0
"Glu_0.0",0,0,3e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-08,0,0,1e-08,1e-08,4e-08,0,0,0,0,0,0,0,8e-08,0,0,0,2.2e-07,0,0,0,0,0,0,0,0,0,0,0,2e-08,0
"Glu_1.0",2.55e-06,0,2.29e-06,0,2.57e-06,0,-6.38e-06,0,3.35e-06,0,0,0,2.31e-06,0,0,0,-2.36e-06,0,2.67e-06,0,-1.47e-06,5.34e-06,2.73e-06,-1.806e-05,-2.334e-05,2.13e-06,2.45e-06,1.09e-06,2.38e-06,0,0,0,0,-0.00013181,2.59e-06,0,0,-0.00023321,0,0,0,-6.44e-06,0,0,0,0,3.46e-06,0,0,2.73e-06,0
"Glu_1.1",1.55e-06,0,-3.56e-06,0,1.18e-06,0,2.96e-06,0,1.49e-06,0,0,0,1.17e-06,0,0,0,2.45e-06,0,1.44e-06,0,-3.6e-06,1.2e-06,9.4e-07,5.17e-06,6.23e-06,-4.47e-06,1.3e-06,1.53e-06,1.35e-06,0,0,0,0,-1.585e-05,1.2e-06,0,0,2.415e-05,0,0,0,3.19e-06,0,0,0,0,1.32e-06,0,0,-1.76e-06,0
"Glu_2.1",-0.00053879,0,-0.00055265,0,-0.00251912,0,-0.00468014,0,-0.00040165,0,0,0,-0.00091601,0,0,0,-0.00345719,0,-0.00162239,0,-0.00205553,-0.00031759,-0.00042102,-0.00780852,-0.01025321,-0.00326356,-0.0006915,-0.00133998,-0.00072344,0,0,0,0,Inf,-0.00060298,0,0,-0.1467983,0,0,0,-0.00498105,0,0,0,0,-0.00135149,0,0,-0.00048551,0
"Glu_2.2",-0.00013424,0,-0.00197638,0,-0.00061145,0,-0.00062879,0,-0.00018294,0,0,0,-0.00023624,0,0,0,-0.00047653,0,-0.00028782,0,-0.00416834,-0.00013591,-0.00029323,-0.00124889,-0.00222016,-0.00449568,-0.00032928,-0.00018728,-0.0001924,0,0,0,0,-0.00019386,-0.00022656,0,0,-0.01520773,0,0,0,-0.00138095,0,0,0,0,-0.00017707,0,0,-0.00142429,0
