"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9"
"Cit_6.5",39783.33314944,94588.8281897076,32822.7674405554,77804.8865148887,5634.60465480175,5181.55121214884,87111.8817526992,48449.4601277765,7001.88983071147
"Fum_0.0",316625.983685769,288533.948765913,397503.769576097,201228.647701371,268311.935934237,237477.109322169,246651.026162191,334623.478642887,242320.082006997
"Fum_1.0",30632.7408841275,36156.5743620676,36564.1158383972,18879.8096787561,16396.8170966406,11566.3893401892,28989.8747592478,25975.8232799589,12950.2527334433
"Fum_1.1",102590.101820581,105331.24407654,108315.496345227,55576.6379414202,50711.0278480827,39334.3227669492,102319.037803258,8099.94513751835,53278.1135347603
"Fum_2.1",87829.0478549435,137001.755358504,120509.309229566,77349.9701840137,28750.6823641673,27616.939333314,112578.609000431,93591.6813825707,23497.996299676
"Fum_2.2",191589.42213567,225723.785879598,202599.427216431,112078.929947939,73351.4257889421,59731.1699405265,110538.101161144,222732.397521875,86078.9644382279
"Fum_3.2",19874.5503068502,60729.5916522543,33607.0197309336,22680.048897197,3347.1685206298,5474.71740351989,49028.4746808824,32984.6802227042,5198.59767163891
"Fum_3.3",44277.5581070104,58052.6578389222,54386.8742888772,45939.6981660007,0,0,44479.3324491147,37219.3180402244,0
"Fum_4.3",280839.023545476,567974.514131993,421415.45790891,360845.824843351,75503.0500593684,74587.7757378848,496393.150204003,308739.818181936,102797.378393787
"Lac_0.0",244973.435533728,335973.793622501,220962.816362027,119971.550854907,46594.6759466163,77183.7238042608,197959.625487152,247957.132848814,58392.6435519224
"Lac_1.0",731.791465339776,0,0,599.399773681482,50.3501762894583,292.09793841158,558.877642664919,588.850739242237,190.881800233921
"Lac_1.1",1780.27136886312,1979.36376508589,3561.70976106701,2149.48123351849,456.791847410236,1275.51475977333,3323.98792596953,3525.91410376591,512.600833879707
"Lac_2.1",507.765127243045,1835.81372951567,1069.55746702137,325.665810666661,0,621.04554266224,1259.02450338457,1256.66206558211,0
"Lac_2.2",0,0,0,0,0,0,0,0,0
"Lac_3.2",3230.00515783583,5861.60858951255,3965.73539739723,4748.14358292492,0,1238.0311183859,5793.29812859302,2631.13483945009,0
"Mal_0.0",668582.911055819,528435.287720811,652027.839186327,370481.43625343,469901.748486462,651482.050946158,516363.873460543,565894.909620084,504820.501065981
"Mal_1.1",235933.574938289,249857.743175228,290132.953972131,147513.953365573,107738.822774443,149063.917290877,256458.960603499,205504.363419387,115407.232164168
"Mal_2.2",339811.279994706,407845.2770495,415845.512524274,283539.523766737,101357.455394023,124946.276207787,454448.878764992,293101.521297251,138778.875556293
"Mal_3.3",89981.7595908464,173139.352959327,127818.186236299,120577.659359766,20425.0171555884,31442.6058256708,178649.88157548,113525.267967581,19718.3825492482
"Mal_4.4",536901.956696053,912257.279503524,707760.983400659,651012.146966606,142841.521780441,177484.066327558,1093794.08289444,484000.726309434,178533.8555896
"Suc_0.0",302051.504308946,653078.848190219,607011.423856726,130020.372772229,394684.516140067,1649413.64102982,414433.779245655,250265.141500646,160694.22775191
"Suc_1.0",31506.5144382957,27297.388215236,41185.8705643285,0,5594.01795069154,10932.4081790822,0,11943.788451243,5955.3178915522
"Suc_1.1",61244.8069703539,160420.611369971,153992.692341503,95040.4064223543,25394.6857899505,46818.2071316873,0,59750.6227275812,23637.308256423
"Suc_2.1",58323.0388135281,150665.972167504,95828.0520780333,0,13142.6339987695,16417.4023535257,0,54587.8590103453,19950.2780345867
"Suc_2.2",56932.0375239175,98110.0764564179,75078.8076805986,22353.8309432354,11699.8715918532,14252.387242526,49369.4977943377,51365.8795456452,0
"Suc_3.2",144.847328554518,6242.31820001847,2858.09727055919,2266.70325159093,0,381.192347801172,8259.73351220486,2223.57884593017,142.6542690262
"Suc_3.3",418.220192861706,256.886768133926,193.847441416899,87.9596810945699,643.950037510457,550.209322308221,4762.8681108858,1132.2663806745,795.414654214661
"Suc_4.3",225729.182960837,490252.698927411,277529.970099361,158963.580281395,41526.2541526646,49110.5844602818,106836.281435489,202715.051211381,30802.2751496561
