"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9"
"Cit_4.4",298886.663051074,713724.05378451,411433.231480332,616952.212522332,79938.0934870328,74495.5766551437,524395.875340314,492993.3634394,105294.390364017
"Cit_5.4",549971.072616669,785124.259779842,603578.707404104,524950.146469075,155032.838714552,127413.154905016,848168.355142286,583738.359924574,154325.185305596
"Cit_5.5",3093.02506170915,5353.26921660781,2497.56756251442,8190.23716333134,712.113121637908,500.99079356424,9276.02273868304,3244.80962757012,1207.58958078392
"Cit_6.5",39753.2200742178,94517.2356817136,32797.9186346696,77745.9974707815,5630.33831283786,5177.62804927591,87045.9490300778,48412.7860391857,6996.58817309675
"Fum_0.0",318000.000000004,290000,399000.000000003,202000.000000002,269000.055823059,238000.045205069,247999.999999999,335000.000000003,243000.063703074
"Fum_1.0",31518.329689942,37542.5019184988,37780.5457430396,19661.3289225431,16685.6304436163,11844.5355338855,30128.7602613385,26921.5108368872,13186.6474217626
"Fum_1.1",107329.803877664,111269.31800164,113611.92373329,58622.0766770059,52469.4336827915,40810.4697573602,105678.589187612,13559.3845880983,55241.2016216766
"Fum_2.1",88276.2771829369,138339.408912224,121261.956094135,77883.1085726159,28828.1602534608,27737.6240307205,113669.213219315,94309.5496093405,23623.5753777977
"Fum_2.2",193129.359281589,228165.705370232,204622.233737858,113758.578193257,73383.6269141622,59790.7227175345,112481.71550018,224185.089730498,86135.620607278
"Fum_3.2",28370.213068058,77899.5524412925,46353.0792773826,33597.6448703446,5632.03129987413,7730.6564124912,64036.8529069004,42317.9498436387,8309.09775928005
"Fum_3.3",47097.2123193068,63766.6028743461,58622.3020217846,49566.6013453883,0,0,49475.4230199975,40323.2524312427,0
"Fum_4.3",280704.388053113,567702.224356886,421213.429402096,360672.833812577,75494.8482068601,74577.631089544,496155.176951486,308591.806772195,102783.684849804
"Lac_0.0",244998.925803769,335994.318137908,220998.987333431,119999.445375424,46599.7980503692,77199.6455016827,197999.0896798,247998.874101117,58399.7488142338
"Lac_1.0",737.149202801015,0,10.5310213447764,603.093823459647,50.3441711503377,298.456999147853,572.104751902433,601.726995152908,190.859034222915
"Lac_1.1",1786.03114426345,1999.28259024202,3572.97588830018,2153.80469730611,456.688700771294,1281.89478678465,3337.80641257962,3538.65081365964,512.485085180318
"Lac_2.1",572.753806312722,1957.69491501852,1149.23526288453,421.406730373644,0,645.811410855775,1375.52839905862,1309.29530590775,0
"Lac_2.2",0,0,0,0,0,0,0,0,0
"Lac_3.2",3235.20416137341,5868.45259734801,3970.51679150395,4750.4232788101,0,1239.72424964205,5797.30255825539,2636.68316327508,0
"Mal_0.0",671000.000000005,531000,655000,371999.999999999,471000.000000001,652999.999999999,518999.999999997,568000.000000002,506000.000000002
"Mal_1.1",242716.659194529,258035.090957216,298438.76568169,153211.024173415,109742.990284084,151529.028992581,265576.670822586,211365.219705648,118163.382343413
"Mal_2.2",342629.176412364,413364.089500759,419861.086868301,287392.882433653,101993.118686659,125920.438966274,460213.342847776,296632.456308357,139389.02030691
"Mal_3.3",111601.632952995,209859.504214413,156311.608061235,146784.308291762,26179.4445376434,38588.2899986957,222697.922484767,132991.772687156,26914.8403886971
"Mal_4.4",536624.147051113,911785.251192229,707394.766300793,650675.29463221,142767.610933563,177392.230223778,1093228.12275344,483750.289365851,178441.476375955
"Suc_0.0",303000.000000003,654999.999999997,608999.999999999,130982.443067593,394999.999999998,1650000,414471.317419329,251000.000000002,160995.254171028
"Suc_1.0",32091.9933838056,28816.6853676417,42149.2540288401,0,5726.8560614052,11096.9936742071,0,12494.0275225572,6156.06463099735
"Suc_1.1",62963.4170002353,163871.412987309,156425.481693545,95461.4869064188,25755.2795877631,47256.2311893916,0,61320.1903203235,23831.6888782456
"Suc_2.1",58368.3219861207,150873.024349319,95926.7937019503,0,13153.8399468906,16432.607332468,0,54669.7854404379,19953.1382246896
"Suc_2.2",56988.8110498483,98285.3507439666,75163.6026867423,22417.326088529,11728.9594505662,14281.3150538036,49932.7976334258,51460.8144342144,0
"Suc_3.2",6982.46015695832,21089.2262916271,11263.261474386,7108.24499429846,1058.83420006428,1868.60871438031,11500.2813771619,8362.84875490774,1089.24130343154
"Suc_3.3",2697.2972685003,5206.9694451609,2996.04984687899,1693.01742458466,1062.91320797188,1045.88510029481,5835.55827803433,3178.70144815567,1146.17396518912
"Suc_4.3",225619.394943826,490014.25432186,277394.987617837,158885.94560164,41514.4841798961,49086.6985078822,106784.986887351,202616.456545308,30786.2708278398
