"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9"
"Lac_2.2",0,0,0,0,0,0,0,0,0
"Lac_3.2",3236.63159378854,5883.5242003191,3978.71359818864,4752.55232967581,0,1245.2816389987,5808.27416774449,2646.26479936766,0
"Mal_0.0",668290.788796186,528204.399823355,651742.950297394,370319.562733819,469696.435485545,651197.400516161,516138.259896767,565647.654576362,504599.93110121
"Mal_1.1",264694.89257358,272548.615240263,318142.758473588,163440.452096276,127991.26774987,177142.551010387,278623.424024645,229844.40951894,137164.872875176
"Mal_2.2",347709.167749979,416051.802055069,425439.656748189,288397.629018487,105114.783115349,130155.75052211,462830.47613617,299971.128950075,142784.87650131
"Mal_3.3",97375.3488983559,181971.692080026,136858.042994971,126708.757353948,22647.6234860631,34185.8069061645,188489.642128919,119887.509346832,22753.2187461282
"Mal_4.4",537914.909983337,914177.339512833,709191.998685157,652349.223728562,143074.354393643,177838.836545751,1095779.18260989,485262.74143092,178763.433187601
"Suc_0.0",301919.529695739,652793.500071924,606746.203863674,129995.103755462,394512.052967853,1648692.96682637,414992.702356146,250155.793774257,160625.498191024
"Suc_1.0",34762.0508505254,34349.7053944259,47735.5430062404,0,9860.294767324,28762.7262221719,0,14645.807850033,7690.81905617531
"Suc_1.1",71009.0032248791,181516.91890342,173598.22154132,99231.1466307998,38183.0098557754,100294.653125656,0,67835.8412345353,28877.2637471667
"Suc_2.1",60087.7501845182,153449.157027737,99000.0882927488,0,13739.9559618752,17849.7695187634,0,55685.2528971627,20446.2444448087
"Suc_2.2",58337.4005174033,101765.02515642,78588.6681703529,24444.0045815287,12386.6530035047,15837.2135693032,49778.6704814328,52723.1961540619,0
"Suc_3.2",2048.10758683228,10608.7451999542,5793.95641694099,2559.36364937515,220.97132162247,911.235686382828,8814.50750382061,3977.79232984563,588.417621834969
"Suc_3.3",1041.28435884982,1337.23821434908,1024.37441430992,340.830001818632,773.712125312694,711.797781904544,5347.40834154387,1694.82958723386,816.102094832367
"Suc_4.3",225748.873664451,490352.320863364,277583.216268582,158995.822902697,41542.4432282598,49124.3398548011,106983.420729856,202763.828277133,30814.6002481062
