"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15"
"2HG_2",2378488.58370646,194532.279674692,442988.282094505,89463.9352338929,30654.3030427712,2648570.09800699,234456.509752931,615057.785910092,106492.666376965,921644.583168885,1870447.93605922,1737224.28922536,1494033.46048065,804766.072436875,1971061.07907982
"2HG_3",534610.172810578,64391.6850148449,130092.993892147,117989.829196953,14111.8982190959,681796.464037646,77615.9577817428,161050.779925092,44844.233067374,243638.42735397,525986.919758116,499230.731086504,456457.628206204,266980.738945081,563830.893217003
"2HG_4",492990.259771124,64604.4926403167,123204.167475579,0,8681.64893358307,694787.620811058,70385.2134683132,149054.393187353,22277.4457572632,206060.176830611,486797.968110777,469225.46836198,438315.298296126,228669.719938359,485270.063537972
"2HG_5",130936.502463119,19858.1106964947,33325.7448879157,2883.19246957066,3266.83493938803,199355.758939671,22581.6172461822,39419.798179734,7723.41581974755,66088.4927656578,178420.326133828,170425.061074548,142337.221050312,66041.2128295666,132783.141925522
"Lactone_0",105154.876955825,17218.2957766018,23698.1231879466,0,0,143557.865142413,29329.4890952296,31594.3502734011,0,43322.3073949128,76023.6038122579,93263.0455710635,73675.8925465105,38810.0558373183,143390.046489239
"Lactone_1",3245.60508453726,636.518747654037,651.099245804759,0,0,9719.39457100719,0,1595.63614970971,0,481.379724012223,4000.88052255265,151.527298129241,2811.57502352923,445.917491326537,0
"Lactone_2",23224.7629157845,2751.68845498889,2996.96356802802,0,0,20020.9291964467,3644.98848713463,5356.50091244434,0,8184.42416367487,19795.3515875175,13958.1663790414,16989.3819891444,4348.74700705208,31131.5144831111
"Lactone_3",2214.39459491677,84.7715594520502,530.008503111799,0,0,5507.87769119172,349.406909403242,666.608974141745,0,804.517084283628,2262.20342130282,3422.94563940842,2030.92850665538,922.063474682371,3810.75510490553
"Lactone_4",5036.86822662506,2353.91884080182,2504.20847764388,0,0,4277.53532600826,3053.11204865736,2721.1810852629,0,2774.67651560544,2043.63467778446,4330.07830777671,2818.86529965151,3728.55547454207,1846.89950924962
"Lactone_5",685.58653701612,174.532371064339,348.208016793906,0,0,2617.30664907504,185.764011970563,486.159030050125,0,157.16582299033,1598.44381893779,1657.75634865506,1129.27079040483,909.595443316962,1406.36744532609
"Mal_0",1680054.33985939,1769176.82225773,2349302.2400222,1050743.57070252,782657.084745147,2657299.32111168,2010876.77505035,2363690.32771442,979241.171686222,2240225.29835162,2435075.07297061,2450835.36805586,2482136.38540484,2461741.82507855,1568323.42424169
"Mal_1",279094.697532876,327814.42886547,413394.883144321,110292.5367576,123057.528000978,487333.3688301,382721.084161563,405522.372921595,139927.036230359,411135.020480798,435168.459078221,465126.717766034,442421.333672905,492800.311768037,278057.372440598
"Mal_2",575638.909344337,835812.196484958,928547.550268476,39902.8363315062,324113.871204937,1055831.67982472,961579.529389713,881479.862222293,284845.632537322,925514.890516452,945305.030690483,1022730.40030179,971617.519012864,1234414.11192965,608773.671926025
"Mal_3",330475.995907821,579875.02082761,523330.110734129,0,201194.078208104,587184.286134598,671890.435882103,529041.223293254,140533.249039129,540657.489746659,617519.157685475,632189.551490051,562429.446058776,869969.921319429,333746.740548367
"Mal_4",91080.6385024816,244014.390807662,202396.23710171,0,82469.0561770418,185886.762327163,258961.331332628,184643.234556973,47627.3997929428,198679.520576773,230396.49355988,235553.588008483,213883.950607291,351360.22707585,98914.4041546368
"Succ_0",187815.97443472,77928.6985179039,97154.3008697912,1142775.65508884,63094.5029527482,182290.449462856,128421.472781453,138726.953660608,194736.622369194,191263.231565467,144893.022935495,148082.748684006,124905.445774566,170488.214627487,113743.512913514
"Succ_1",16143.9453504683,8942.26150318579,6157.736338012,97930.8359908559,0,13406.6795414107,11331.2369869528,8432.54681041581,7311.94857349939,12143.2183380858,9164.21644711617,10608.0304132631,10707.6684865536,12617.0735798629,5168.68604211692
"Succ_2",21886.2197684031,20826.3193813034,25504.749512252,1143.88165322448,5814.65518484702,32889.950362823,31916.1878687429,29517.3176841499,6336.79835542985,32495.428987107,25128.8724967752,32145.5851831738,25251.0832941125,34802.4622736251,23160.8999902119
"Succ_3",10334.0144571946,13079.1485143262,13153.5518538378,0,3717.12903516871,17847.7004877994,21447.80396128,13996.2136428711,2257.22462238211,16179.3538652359,13070.4057293881,14933.8246056601,14175.1021837627,20255.590043709,12661.6169388881
"Succ_4",4994.87392512234,6981.0709255513,4378.34656364473,2804.98869401964,1375.28041766954,7552.86694287395,10393.1606664881,8297.61094944654,1237.8740862729,6643.57726315491,6620.02828736791,8251.43371907451,6523.22867530565,11311.4508161289,4754.04835875949
