"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15"
"Fum_0",759024.86779233,801679.83519479,1069339.27965616,502999.86556309,200338.08867825,1198030.22386189,1144039.10071262,1087726.42019454,276823.82073413,1265698.09968967,1080662.74236104,1298245.59780405,1236826.50651793,1227569.4710391,769325.27131772
"Fum_1",120190.71784829,124675.28992318,156193.39366006,28650.03555364,24260.30446488,158045.08286923,166048.8642163,177036.32346507,30847.65105388,163488.3914156,179199.48682825,169589.80766284,181283.60028608,190764.84978381,98772.85640251
"Fum_2",283290.06658381,340630.49208017,384975.59662964,158129.7886458,100104.92274808,408650.50883247,441290.26610411,389018.83768001,113566.16282712,438039.28382017,414463.8150018,452828.52883422,423708.17791547,494957.95782742,271874.05904059
"Fum_3",116954.9466313,223697.39732001,196915.48190528,505.72820258,50260.7950227,208236.09956497,324080.65447005,210237.40673895,35109.16187061,262859.81168643,242070.44969799,295312.00046518,238877.45570736,357537.34452466,135083.9123854
"Fum_4",64744.33116732,87906.03453348,73139.17240062,2338.67411783,29999.15528709,84926.00215823,109330.67138607,76657.28784039,22970.07050077,80416.29011265,86477.98065861,88028.42187013,85339.24803031,138412.88331295,59952.39334377
"2HG_0",7850112.03253527,814109.18710695,1793093.68002808,3192118.89947717,263011.46205058,9125047.37836005,1001298.4119002,2390371.61492375,972272.76743499,3596055.19455064,6202727.2874763,6085921.29110681,5684490.47859151,3831594.81082955,7688739.55114042
"2HG_1",2735457.58967243,120021.70535438,304925.16381184,499792.19054525,27004.66927745,2533082.78993473,144556.34430038,450227.10431235,148404.57139255,650451.46009632,1541142.70922112,1227960.55603901,1206895.17834276,668785.35809715,1865618.30407426
"2HG_2",3399555.48523445,278951.28875568,634496.53992016,132067.59174798,44125.82995171,3789418.00867917,336194.89658715,880094.50036271,153106.36814166,1318877.90579704,2678032.84620323,2487762.76910642,2140698.67998132,1153993.46550918,2822471.72878069
"2HG_3",785214.53981362,94880.03755061,191262.43843201,167093.70739346,20479.59382223,1005212.22710333,113936.63999124,236575.98009608,64772.41499464,356794.01531144,772720.78539556,733825.40907588,671463.48709955,391131.89919917,826147.34975708
"2HG_4",705475.8853763,92641.95929842,176349.80015067,19.89585068,12491.92204121,995305.20010611,100998.76830207,213286.93444231,32007.84139377,295683.04008341,700109.40245391,674726.18693734,629079.29927597,327607.11062057,694705.45244234
"2HG_5",184416.55594447,27969.0504545,46937.4457578,4110.79231074,4601.15563581,280781.38779191,31804.95663394,55520.56224987,10877.99144592,93081.93896861,251295.12804803,240034.26347063,200474.07012523,93015.35301335,187017.54870252
"Lactone_0",119150.3473002,19511.02511879,26851.02179629,0,0,162723.64856405,33229.14920646,35806.27082904,0,49078.29877197,86161.14001081,105643.84724119,83487.93134432,43966.35355507,162465.38942169
"Lactone_1",4204.45452558,783.26292369,805.52159196,0,0,11458.96677656,0,1928.42699737,0,732.0394591,4980.88428847,491.5397093,3570.74160078,604.33213304,222.10695433
"Lactone_2",26340.35250139,3115.96146447,3408.65099564,0,0,22829.91369415,4151.62847195,6081.49074333,0,9283.87729516,22462.17566474,15903.18334283,19281.9798945,4951.43436733,35383.6500544
"Lactone_3",2732.18840844,203.32271852,713.37857737,0,0,6420.5605551,536.32054959,877.75545394,0,1035.61687537,2650.74182482,4066.42195479,2424.27647209,1212.7818841,4407.98111802
"Lactone_4",5724.36990221,2666.90645163,2846.43654552,0,0,4977.30335131,3456.0257293,3099.19964989,0,3140.84379581,2397.77637488,4981.95854502,3246.08894539,4260.38240815,2162.02315946
"Lactone_5",773.16200478,196.82688317,392.68777239,0,0,2951.63925146,209.45949929,548.2604819,0,177.24172003,1802.62758103,1869.51688017,1273.52265269,1025.78655704,1585.57299695
"Mal_0",2400665.99427859,2528536.04180128,3357319.10740307,1500460.03777811,1118263.79244162,3797753.24978225,2874124.67336235,3377723.53801178,1398924.56720836,3201689.67651589,3479988.19337659,3502911.79515805,3547228.38112846,3518898.40406687,2241273.49795897
"Mal_1",413747.86980863,490635.17767254,615034.48397189,158070.13359806,184468.27459798,723912.20793265,572402.98149843,602486.29538226,207318.21089277,611739.65240192,646535.70803832,691386.98463427,657585.63024436,736934.05279534,413223.37144343
"Mal_2",831171.44029549,1211225.8826746,1340369.8221404,56628.07503612,468667.10436928,1523729.64505047,1393668.25970908,1273803.37418434,410307.55821012,1336806.04173208,1368215.46635406,1478727.33888431,1403179.56318393,1789437.38766769,878341.67657367
"Mal_3",472977.63127283,834720.73453068,752308.5139578,0,289490.44866265,841751.06746078,965819.32538268,759379.801859,201638.78912917,776623.06185267,887228.44407492,908288.26289741,808308.13118976,1251467.56009473,478054.16322222
"Mal_4",128588.46937483,344501.82261343,285744.89078838,0,116430.58837915,262436.63195923,365604.04310526,260681.02917367,67240.79748965,280497.59274046,325275.92306605,332556.75149319,301963.35154255,496053.68281296,139648.25474993
"Succ_0",238659.9601204,99055.16381206,123428.87133777,1452115.66163501,80129.19303584,231611.16211109,163192.62379664,176238.99417555,247331.30205189,242986.74391286,184076.21141465,188145.26718191,158719.83644311,216617.23118711,144477.5064596
"Succ_1",21024.46306783,11870.94369959,8461.39965178,124156.55892643,0,17839.39411117,15185.47062509,11447.4292238,9430.09878804,16227.33464236,12262.22038318,14272.20399887,14221.96015441,16888.47249687,7147.76832616
"Succ_2",28090.34544546,26855.93358897,32776.03430053,1467.24291857,7535.37105284,42302.07984853,41210.03371758,37888.10847252,8104.81674987,41738.36636672,32299.01357527,41249.30563674,32495.84367686,44816.89557846,29792.00156634
"Succ_3",13306.64785009,16875.02393056,16836.40736189,0,4771.52191611,22926.9882451,27618.72849683,18100.37508306,2914.00850133,20773.49055215,16845.58884305,19282.25562463,18235.92499647,26159.70394427,16234.21702831
"Succ_4",6297.7209552,8801.9926028,5520.38035988,3612.56240483,1731.24919907,9522.93318344,13104.08159181,10461.93484176,1560.75702178,8376.46695171,8346.77626947,10403.7125535,8224.72758049,14261.89589749,5994.07943218
