"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15"
"Cit_4",404460.558475104,383462.908082191,171106.348794344,0,25549.4705177669,570685.045520384,509380.217531773,270554.007678758,29234.6095704802,154508.070971844,577798.204283267,494915.095724238,312166.282632939,872973.434054549,141093.574293721
"Cit_5",179032.563096224,282143.526970529,87762.4816812653,0,13219.0455072605,320270.892060637,375683.236839985,118458.912410316,13279.9185899912,69744.2880072499,316338.832004981,286163.731950214,195915.642364756,583577.076132334,64591.4901237171
"Cit_6",32188.0254237591,83124.2028471243,18544.2419911147,231.849404957128,5133.66988307603,50377.563468372,84379.2016368532,22220.4989025871,3501.1860937974,14504.2352669797,82349.7934740232,62100.1281247679,29046.0892976474,138285.325316457,14140.9067337648
"Fum_0",597985.000000004,631590.000000002,842460.999999998,396280.000000002,157832.999999996,943848.000000002,901312,856947.000000003,218091.000000004,997159,851382.000000002,1022801,974413.000000002,967120.000000003,606099.999999998
"Fum_1",94690.2393613992,98223.3341860827,123054.343106669,22571.4495499651,19113.0736040661,124513.165364978,130818.810136207,139475.095453955,24302.8040294742,128801.584623979,141179.307395644,133608.482987161,142821.24119645,150290.884447258,77816.5367725679
"Fum_2",223185.323240911,268360.01486883,303296.561047012,124579.899389055,78865.9828809312,321948.443184664,347663.128012911,306481.960632849,89471.1948973407,345101.896196204,326528.358859598,356753.354606848,333811.374991875,389944.317993559,214191.413343613
"Fum_3",92140.9913284334,176236.239170238,155136.556710744,398.42947451696,39597.1236081722,164055.315289655,255321.503137229,165632.011549836,27660.1637865454,207089.689891843,190711.140049575,232656.602031763,188195.593336277,281679.794744323,106423.592658739
"Fum_4",51007.7344181072,69255.2935892551,57621.4691558054,1842.48514336319,23634.3308836869,66907.5251095517,86134.3340686,60393.1573448497,18096.5844351771,63354.6241809961,68130.2253173184,69351.7143978638,67233.0939325265,109046.266519084,47232.4866482284
"2HG_0",5501853,570578.999999999,1256713,2237238,184334.999999997,6395408,701772.999999997,1675323,681429.999999999,2520342,4347262,4265397,3984049,2685423,5388753
"2HG_1",1917180.98846692,84118.7714178198,213710.762386642,350285.849619892,18926.5732848608,1775343.98098899,101314.191856345,315547.515026001,104011.271806795,455877.355922211,1080129.88897662,860632.10832202,845868.164700083,468726.906514547,1307542.82494117
"2HG_2",2382622.62596818,195506.634622976,444695.142843959,92561.287386714,30926.1611670145,2655862.84028767,235626.560832065,616825.664020524,107306.587140164,924352.714021035,1876934.11099297,1743580.8556322,1500336.48000658,808791.312006482,1978165.97827484
"2HG_3",550327.811069717,66497.9069183228,134048.76469446,117109.795566437,14353.3893838236,704516.048230078,79853.9743060548,165807.349044825,45396.588517274,250063.720796264,541571.400977558,514311.07118817,470603.908017859,274129.872807644,579016.102682941
"2HG_4",494441.939210351,64929.3207000609,123597.048422634,13.9442654190959,8755.12584703848,697572.579655384,70786.298854844,149484.918846851,22433.1114595524,207233.299905739,490680.769937399,472890.613585403,440898.399362282,229607.699472156,486893.341368255
"2HG_5",129250.739017168,19602.4723612186,32896.7186308406,2881.10219490937,3224.7797016691,196789.283307613,22290.9170399189,38912.3073288778,7623.981622512,65237.6861677563,176123.455105636,168231.131874963,140504.856436359,65191.0185359841,131073.67858154
"Lactone_0",105189.999999999,17224.9999999962,23705.0000000039,0,0,143658.000000001,29335.8289273036,31611.0000000004,0,43328.0000000033,76065.9999999998,93266.0000000015,73706.0000000031,38815.0000000041,143429.999999997
"Lactone_1",3711.83619323796,691.491286511859,711.141999819661,0,0,10116.3676190502,0,1702.48128058127,0,646.269460790726,4397.29493178971,433.948059681229,3152.37275842513,533.525067403392,196.083612472468
"Lactone_2",23254.1636881702,2750.87730648222,3009.27363080179,0,0,20155.0282974591,3665.19954712446,5368.9479366696,0,8196.12426489527,19830.3765932036,14039.8739385752,17022.7910456038,4371.29553460027,31237.8959319747
"Lactone_3",2412.06933253578,179.500246921082,629.794996438281,0,0,5668.29035830957,473.482116415759,774.912522640985,0,914.27798230166,2340.16550409454,3589.97632081293,2140.23414851361,1070.68530876421,3891.51642702547
