"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15"
"Cit_4",661599.74319762,617889.89639049,278885.393667,0,41639.34085689,927798.78099618,820643.65676843,442672.62591626,47842.06227397,252629.28289156,940112.85489586,803950.87611223,505761.04792287,1411491.1640287,230621.87934103
"Cit_5",299242.35447653,468268.04099551,146406.55440378,0,21812.48669122,536051.55201726,626207.91113857,197902.54861162,22085.1479093,116372.20524914,526132.49584526,477214.8443945,328094.0162574,971997.23449348,107701.93926937
"Cit_6",54942.76078904,141886.80238,31653.70109122,51.64264509,8762.79032934,85991.01319164,144029.06875208,37928.8543138,5972.31329303,24757.71035741,140565.11045456,106000.43807025,49579.65672533,236042.82346626,24137.52848891
"Fum_0",757839.60514664,800455.01477647,1067800.64639795,502726.60483862,200103.19766719,1196475.29081103,1142406.53274633,1085977.6511684,276523.77979407,1264091.12588106,1078894.68675709,1296578.46919268,1235038.34573614,1225692.68851282,768355.16714254
"Fum_1",115659.81666215,119052.50095746,149975.84045164,25712.76716096,22478.02389534,151366.57250859,158820.86655959,170950.90250347,28852.56276795,156282.06194827,172626.48518363,162153.32021228,174542.02658257,182701.58451703,94264.19435487
"Fum_2",285466.40111389,340685.2440655,386749.56169979,161326.29031077,100602.22012066,410562.51907286,440298.52489553,390465.20358595,114800.85004857,438856.31719665,415448.72847604,452947.23272019,424978.80013031,494039.63098533,273255.09236637
"Fum_3",117838.95663293,226884.33998273,199897.53082942,423.82733289,50550.09917911,211073.8618397,329448.20779194,213480.74504546,35227.36910396,267557.40304459,245879.26150259,300685.98357238,242635.94736803,362718.00714042,136722.39262386
"Fum_4",67400.18921595,91512.00019773,76139.39863566,2434.61638172,31229.73891132,88409.73001564,113815.49292838,79801.82981521,23912.31899411,83715.03119751,90025.37329752,91639.41727308,88839.92989126,144090.6723355,62411.68351451
"2HG_0",7822827.21111348,812925.21228656,1790078.17232708,3187084.19543482,262743.16893981,9099846.30390616,999872.43356348,2385913.42337496,970789.2867671,3589619.18180153,6187432.64820865,6073770.73416439,5672517.35549695,3824956.74923916,7670182.0626255
"2HG_1",2693956.72079083,115570.69468972,295116.0323717,502202.47977495,26383.28872727,2481648.98372804,139190.89805369,436887.83441345,146799.20067517,630217.63757984,1502297.666014,1189822.80246082,1175607.76753168,652111.85564855,1827119.89861216
"2HG_2",3444741.46202764,281739.17423388,641575.54212237,129569.73145362,44396.32353267,3835897.84461933,339561.04129356,890782.10052443,154232.2741356,1334808.72291917,2708951.2230774,2516004.73465828,2163793.86566335,1165534.73325335,2854668.24175986
