"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15"
"Fum_1",64529.4861166667,65725.8034846474,80767.0930743635,2804.23159854018,10736.2530579334,77457.7319124275,85133.0271673222,96544.5023690316,13108.7319211645,78990.3596096411,98096.5039933364,82470.5117318962,94258.8624290381,100957.408213435,47442.8906533374
"Fum_2",218811.348129102,261561.46366905,296638.965933656,124230.648656064,77539.5076150877,315137.915543387,337973.578221933,298996.837081351,88428.5291813919,336987.495027641,318320.726421856,347781.394538795,325747.683863766,379079.866447317,209893.178235403
"Fum_3",85820.396717551,168720.67091573,147208.560315304,0,37175.0840732547,155400.049173092,245901.417011815,157593.750471548,25158.8797504398,198346.765868129,182080.456799172,223578.676605237,179427.012857422,270580.571564896,100535.97529138
"Fum_4",50406.3296317687,67877.5749338722,56391.9011580831,1385.19389899943,23386.5417904217,65651.4900176185,84028.780730278,59070.0402749097,17939.2430750081,61606.2204590286,66593.3012373338,67370.3588051797,65717.816668397,106827.524256712,46446.5736308897
"2HG_0",5485725.99547335,570060.522755973,1255285.0905224,2234933.58996359,184247.586338444,6381230.47804464,701156.506837232,1673112.15451092,680762.067581921,2517205.95739028,4338912.16146408,4259207.20317801,3977829.89153578,2682235.47632798,5378684.20142162
"2HG_1",1578116.20774564,49545.1895273868,137386.125415109,228504.400857693,8375.49174260775,1381722.85416683,58879.9157099944,213431.29064994,65283.4391995885,302252.334035481,810626.886052697,597389.097261262,602754.260244332,308544.725154604,980385.810955241
"2HG_2",2305901.99306984,191902.898697703,435985.48537813,76853.2034719355,30104.2224991047,2583715.1750293,231307.065909361,604433.010992418,102963.869826918,906473.971153162,1832009.23946432,1707999.83608909,1464668.73871001,789013.630938516,1924132.81083502
"2HG_3",458877.995824777,58162.6625145878,115910.120001554,114712.830516923,13136.5949017758,597281.986686897,70108.320624695,141356.045434214,41478.9756760311,214116.363762998,466219.833203128,443626.030436461,408731.372150681,241293.599277045,500966.795955169
"2HG_4",482486.554633384,63310.4802994877,120603.273721631,0,8390.85129828453,681295.520649373,68821.3691159256,145855.971518791,21353.4619232304,201208.023823219,476302.853855922,459255.538040491,429171.008584701,223281.954422961,473987.260074695
"2HG_5",125650.002301414,19164.8101836402,32004.3565889819,2205.24473846894,3174.30699901427,191897.732470768,21827.1325870581,37821.4971777488,7486.97111878102,63881.3070241804,173200.570126449,165392.897379338,137635.548534739,63591.7182137288,127584.30626436
"Lactone_0",104853.958212526,17184.4380181034,23618.5383232795,0,0,143636.309175833,29091.8430986442,31594.8244863393,0,43072.9817159051,76048.3860674427,92596.7034099733,73543.798927186,38588.8485063795,142308.687500715
"Lactone_1",0,0,0,0,0,1950.05286002894,0,0,0,0,0,0,0,0,0
"Lactone_2",22883.6394231693,2703.17493072936,2909.98817205217,0,0,19787.7163138574,3459.1614764677,5313.42579338433,0,7958.38003461677,19714.359308343,13380.9484606656,16803.9398978472,4144.75802831726,30231.8505897334
"Lactone_3",1386.96719666256,0,413.754680812686,0,0,4866.87046533305,181.928990897056,490.256429008646,0,481.570652751366,1619.00569117762,2820.34031123295,1445.23334607126,730.369304603171,2561.22942424014
"Lactone_4",5014.86878104304,2354.26332016652,2499.03438335278,0,0,4167.55044701914,3058.22919864578,2710.80851485525,0,2773.11563716062,2003.39544635881,4293.35037288588,2789.61753160145,3722.33295259967,1824.06109709037
"Lactone_5",633.342467739782,148.89071771616,321.685727696639,0,0,2571.61747604266,154.083111436148,456.866086642141,0,128.776718283654,1576.65526009203,1615.37751259044,1099.95853697087,870.722251269072,1393.30790653702
"Mal_0",1680788.72266412,1769950.16212148,2350329.16344743,1051250.10393381,782999.198617739,2658460.87575353,2011755.76642601,2364723.54043825,979669.216107538,2241204.54222532,2436139.48927781,2451906.67347826,2483221.37308876,2462817.89788912,1569008.96739543
"Mal_1",206350.404934205,251233.450427475,311688.118988571,64809.7498064203,89164.8787956233,372305.621492818,295684.456171239,303185.901851323,97512.1989393988,314161.539979886,329752.763933119,359046.524421633,334967.571388263,386264.817377799,210162.366576451
"Mal_2",568115.505661362,826935.752767692,917355.244963595,36456.816828738,320872.234392435,1042532.96476194,951168.467868548,870523.232955768,281167.927037834,914317.152094021,933475.392581532,1009987.20646516,959602.195458253,1220916.1132292,601226.812156071
"Mal_3",318218.820665543,562097.574850801,503542.997575047,0,194288.051319926,564687.516492811,651442.127609251,510275.082332225,134457.859225839,520943.486172499,597416.671922962,610423.866941804,541734.332589679,843724.070300671,320772.190793884
"Mal_4",87563.9953264297,237823.547450967,196829.433475254,0,80325.0786044628,179642.340002519,251787.304551331,179008.968368855,46136.6543770455,192924.445119623,223810.151841385,228817.213607189,207898.14462982,342069.979556179,95366.1858621657
"Succ_0",187898.07227138,77962.7625925895,97196.7688110188,1143218.67528034,62524.3304596385,182370.131989481,128477.608181167,138787.593777539,194582.853113877,191346.836261373,144956.358355503,148147.478391967,124960.04425462,170562.73817861,113793.232306343
"Succ_1",8008.82950103333,5568.30509609277,1948.12979337962,48161.594303018,0,5509.41581997713,5768.94358951362,2421.39952643096,0,3855.97193998013,2886.1223498735,4192.54185158731,5297.45878996619,5231.16261264642,238.947435383321
"Succ_2",21507.8075529579,20604.0089767345,25389.6290815306,0,5314.33866845465,32603.883291847,31659.0203985452,29360.1336041334,6013.24351278723,32256.5268095801,24949.3628738656,31925.9520236651,25007.3584209858,34535.0117361096,23088.1114995825
"Succ_3",9868.7412310175,12636.0731037273,12607.9976661158,0,3452.28276614832,17146.1964971298,20768.5241604553,13364.6210653489,2064.64933919755,15485.1852422547,12533.7810036244,14246.3767954685,13636.9550429532,19513.4527478854,12166.2318422326
"Succ_4",4885.44749804664,6841.78293669266,4238.805240903,2688.59549329617,1377.75546722264,7363.31944278584,10164.4913466028,8149.40722815215,1231.55151035155,6472.06285943286,6481.34026264845,8093.37618032969,6372.58274405945,11096.0375054105,4619.56366115889
