"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51"
"Ser_3.3",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,-Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,-Inf,Inf,Inf,Inf,Inf,-Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"Asn_0.0",-1.9e-07,0,-9e-08,-1.2e-07,0,0,0,0,0,-0.00018588,0,0,-5e-08,-7e-08,-6e-08,0,-8e-08,-1e-08,0,-4.8e-07,-3e-08,NA,-2.6e-07,-3.9e-05,-3e-08,-5e-08,0,-2.5e-07,-1e-07,-0.00026124,0,0,0,0,0,-4.014e-05,-3.4e-07,0,0,0,0,0,0,0,0,0,0,0,-5e-07,-3.75e-05,0
"Asn_1.1",-0.00359679,0,-0.00117054,-0.00162009,0,0,0,0,0,-Inf,0,0,-0.00054256,-0.00274221,-0.00137014,0,-0.00079434,-0.00021658,0,-0.00802112,-0.00104568,NA,-0.0024366,Inf,-0.00080322,-0.00144139,0,-0.00359749,-0.00121836,Inf,0,0,0,0,0,-Inf,-0.00274176,0,0,0,0,0,0,0,0,0,0,0,-0.00447843,Inf,0
"Asn_2.2",Inf,0,Inf,Inf,0,0,0,0,0,Inf,0,0,Inf,Inf,Inf,0,Inf,Inf,0,Inf,Inf,NA,Inf,0,Inf,Inf,0,Inf,Inf,0,0,0,0,0,0,0,Inf,0,0,0,0,0,0,0,0,0,0,0,Inf,0,0
"Asn_3.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asn_4.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gly_0.0",0,-3.314e-05,0,0,-3.19e-05,0,0,0,0,-3.123e-05,0,0,0,0,-3.266e-05,-3.197e-05,0,0,-3.155e-05,-3.182e-05,0,0,0,-3.157e-05,0,0,0,0,0,-3.151e-05,0,0,0,0,0,-3.16e-05,-3.09e-05,0,-3.178e-05,-3.136e-05,-3.147e-05,0,-3.111e-05,-3.105e-05,-3.154e-05,0,-3.192e-05,0,0,0,-3.146e-05
"Gly_1.1",0,-0.03674168,0,0,-0.06110839,0,0,0,0,-0.09865827,0,0,0,0,-0.04317574,-0.05885024,0,0,-0.07586449,-0.06411153,0,0,0,-0.07505773,0,0,0,0,0,-0.0782634,0,0,0,0,0,-0.073699,-0.14322339,0,-0.06562708,-0.08813473,-0.08090788,0,-0.11068343,-0.11832388,-0.07673684,0,-0.06031355,0,0,0,-0.08120271
"Gly_2.2",0,Inf,0,0,Inf,0,0,0,0,Inf,0,0,0,0,Inf,-Inf,0,0,Inf,Inf,0,0,0,Inf,0,0,0,0,0,Inf,0,0,0,0,0,Inf,Inf,0,Inf,Inf,Inf,0,Inf,Inf,Inf,0,Inf,0,0,0,Inf
"Ala_0.0",NA,-6.6e-07,NA,NA,NA,NA,NA,NA,NA,NA,-1.15e-06,0,NA,NA,NA,-9.5e-07,NA,6.1e-07,NA,NA,NA,-8.463e-05,NA,NA,NA,NA,NA,NA,NA,-0.00445699,NA,NA,-5.4e-07,NA,NA,-4.2e-07,NA,NA,-3.747e-05,NA,NA,NA,-1.6e-07,-2.02e-06,-1.02e-06,-0.00625172,NA,3.82e-06,NA,NA,-0.00625165
