"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51"
"Orn_1.1",2865591.84754878,4772858.02557877,4604648.87870045,4350452.66418088,1892658.69068874,1872070.52777002,6267045.26543263,2870589.05836559,5397366.67646743,71445.81048316,4574778.54761543,992703.6325333,5084690.71060631,3106733.27858996,2562757.5230041,2319844.26887596,2900330.41419767,3496957.99066682,3246838.14158452,2841090.26784924,4218735.13117277,3901989.18486945,0,2370930.6898884,5480161.08930131,1110443.96348679,5708425.91272118,0,0,321039.53827693,2417424.17917631,3015558.22946294,1452760.59924945,3217029.51637892,4777017.51010457,3127966.57698627,4156269.05687857,3854458.3381828,4505783.47049364,2371577.7805537,3979557.66329981,3051677.71602126,2904854.31305478,2646287.50077451,3055574.65368858,2381852.40312227,2185424.64043671,3412711.468483,0,2339678.7273485,470666.04246501
"Orn_2.2",138759.56551076,562359.47989718,300206.70763357,196639.578305,114941.0981733,163830.03654256,195860.25310382,163300.49916567,128981.0633735,0,384558.36556353,519594.22572788,219942.98637428,122306.54905458,66527.2970498,365210.79224662,97455.65235491,348810.86548712,57419.06612292,56522.41961412,61650.66347999,117908.71848005,0,165449.80118227,112233.53668807,43165.27968173,187663.72585262,0,0,176144.81249351,130370.26383966,158529.55916288,189562.01366731,235651.38721272,20114.04714067,420338.5621417,223136.46281158,143848.58740172,474779.58456728,193120.49491417,151355.78437422,165204.46935114,399248.86296663,189793.91957471,208050.24377094,157637.55551961,165889.41968474,380890.68526527,8142.63073001,177643.87996957,239579.74283897
"Orn_3.3",0,1787887.86278612,0,0,0,0,0,0,0,0,592778.04512839,2109000.31744375,0,6563.56654487,0,738205.5771511,0,482118.22482424,0,29126.63095742,0,0,0,0,0,0,0,0,0,695682.76706625,5938.5391409,0,316706.68197738,0,0,1364946.02934136,0,0,1628395.13780398,0,16786.25688447,0,1171512.38414844,702238.18154434,398321.87028116,10010.27488408,0,710499.93787861,82358.55928208,0,871164.93663951
"Orn_4.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4971.57968716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Orn_5.5",0,7245250.31907183,0,94852.00732292,0,17398.86687073,0,71177.62701023,0,67882.53648372,3017848.51804193,8023618.44647123,0,598711.88741791,47804.93218271,3055836.68737746,0,2313027.54349145,0,512139.11158104,0,0,0,0,0,0,0,0,0,3113822.89700555,351874.971433,65524.36018693,1549254.36626643,0,0,5680249.25458727,92242.90749546,0,7125811.16506858,17545.10513185,769643.15663773,0,4502251.77428773,2630513.53681391,1759208.00288564,448470.35775728,0,3516551.83872845,791498.21859557,0,3740374.52069596
"Glu_0.0",11099917.5955852,9702518.68978532,10719488.1780638,10653988.1120746,8004254.36088124,10788981.0099195,10910141.8980921,9259941.31826194,10794658.4962384,11463653.7054014,9400318.05414801,9050472.70915696,11849600.0178771,9591011.81537397,8266718.09332407,8944864.8745818,10697081.5771365,11622613.3348397,8101131.5492938,11877061.1146162,9074146.60847192,5290203.89365779,12066403.3708785,9413898.57662322,11807251.7237907,12575807.8684489,12242052.2503697,13548142.8217064,9780862.65564228,7200244.38964118,9963099.7878686,11161385.8587184,8243467.29812946,10158928.622392,9326489.70749377,6804794.16538101,10453752.4386204,3931940.48351513,8486979.76237955,11070386.2646665,10306299.5359907,7944832.91720419,10164268.6280247,7162278.34806182,10326547.9914408,10283428.1318454,8798460.12683624,8731130.97755685,10192423.1859027,11922920.5887548,8827086.76292417
"Glu_1.0",10634.33881497,74920.1369475,58001.17574051,24830.77439308,8996.53801881,30177.58051217,6363.95958459,17655.74498065,13585.60351126,38606.46204508,41717.62331642,51481.10249296,31737.14236758,40819.03974826,28194.86999263,37104.8650665,37801.72228679,51281.75189187,20908.27527062,5734.69815543,25846.0255923,8297.70955322,27065.95655383,28731.65033878,27926.56763856,61451.14427216,27297.59085681,53889.50673556,31357.16041727,39320.95958227,30456.02504495,42298.16434423,26226.445472,62157.6125001,16272.0869489,37443.10655728,17033.78677084,7649.5468966,39553.28013993,31395.94674814,27675.96112136,15341.03520884,67659.0430617,41553.85721222,45413.57095686,26493.79368449,15455.96022312,15063.23986341,13114.04929939,24753.15744484,22937.55543775
"Glu_1.1",0,217283.98135435,42463.1783511,36174.8943283,15433.23543911,64230.9021566,16912.43859021,26513.44333669,5659.8830322,50509.41879376,132527.74186984,206149.91457766,78136.41839996,94758.09853222,49251.78233694,174941.86127043,19154.75506228,104365.11037414,4704.82039991,5153.88637286,53079.27794213,248247.88348615,8122.27989435,56133.80506453,25619.46180246,112647.06919371,54897.16246585,92290.95064451,40295.80693882,74419.16640329,28726.09179023,95889.23339841,96964.1851525,119403.84281998,66603.86554609,157090.85366273,6381.89230728,7931.8450116,91291.81984337,87633.03291505,30882.93052773,18600.93445529,210320.24977771,165180.70231634,141400.72126646,93641.41900842,64066.90620619,76180.76333498,0,45283.36943621,110456.04064336
"Glu_2.1",0,98099.27112984,0,0,0,0,0,0,2801.56121458,0,23685.54702718,95387.13536641,0,0,0,77647.97853635,0,34994.58538587,0,1774.18539231,0,2977.23503765,1089.72957883,607.82225563,709.21032015,0,0,0,0,26264.98958314,535.31699853,0,24603.54201085,0,0,59556.16862692,0,0,84872.70269713,0,2260.28234583,0,98581.2844464,73530.64819521,32849.94027597,0,0,31441.66382615,4354.01267739,0,34353.13472041
"Glu_2.2",8055.65385862,47563.28034579,16585.10637199,5178.4780275,0,9057.74422912,10735.49543071,3149.43624607,5117.41374061,3624.16059722,12769.94130416,39345.2040774,849.78227725,13552.78460113,3928.82788401,36670.52648451,9890.36563314,19549.06258211,779.49782254,722.11678924,4484.46492029,2678.35140395,16704.90650678,10520.6374296,6331.75385809,3821.61149335,0,16947.07957781,4997.44539231,12877.39911374,11067.8604153,2620.63547725,11081.13689902,2248.26708781,1088.71219931,21141.56455359,9079.05483572,7762.93244463,47924.73240454,8924.44162168,3913.77429739,687.61966789,40326.29903255,24401.49974705,28955.87418195,9687.60744142,2062.13403131,20038.04575222,15816.05079891,15458.17182297,19779.48883992
"Glu_3.2",0,599266.9294969,5.84062113,2693.05696433,0,86.30988559,0,1949.51135979,1218.29365582,1032.770273,176273.88382051,536905.80186652,0,27396.01716985,2525.545243,507768.43652801,0,241881.737328,431.2726947,46813.48731434,0,1241.96295112,560.70987477,0,0,0,0,0,0,164385.584384,42550.0794376,2396.22762149,175605.98837372,0,0,369357.26380928,4678.34755813,0,526590.62212758,533.457598,23486.97803088,0,588891.02483445,411034.26025065,232035.16417162,48169.07103988,1863.08547102,201932.6331082,38632.03266932,425.78870143,201916.87856233
"Glu_3.3",225.29836271,12689.55518682,0,55.53396156,0,471.28782186,869.6775918,0,1548.69907968,911.49047036,2935.44977675,9463.69612162,103.62761608,0,827.48700931,8161.29271745,1356.58540458,5570.77533909,1539.03718997,2810.78043302,0,2182.89232141,0,578.95816429,651.75138085,0,1593.98803854,0,998.83194877,4167.08859646,0,0,2475.38693161,0,433.68788821,6119.6623541,0,0,11084.87638228,0,1036.8683802,2458.85647812,15372.98729353,6026.21682812,3398.79391644,0,905.77340192,2772.30028116,0,0,3577.94607983
"Glu_4.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glu_4.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
