"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51"
"Orn_2.2",135968.52741334,604441.15841251,294168.29330952,192779.41726526,112629.150437,160550.96927629,191920.67485163,160087.03766608,126386.70540732,0,394546.95758272,571927.09949541,215519.00749959,120071.41767364,65236.61339692,379839.40919982,95495.40742825,356147.12102255,56264.12195411,56275.89859735,60410.60219883,115537.07495188,751.87891103,162121.91280546,109976.04116569,42297.04383658,183889.01520393,0,0,193322.66155355,127932.89850219,155406.29129618,195198.41731151,230911.45143377,19709.45827681,452576.18308498,218740.6570732,140955.18572475,513785.16185698,189252.17747385,148837.25397478,161881.51414343,426084.05215887,206878.61971906,215750.79183225,154768.91441391,162552.68928188,394460.91788003,11663.86077062,174070.71814951,260709.25538563
"Orn_3.3",0,1750101.13073104,0,0,0,0,0,0,0,0,581527.35182158,2055216.15354429,0,8033.17294131,0,719442.41169523,0,470132.83198734,0,29646.2651467,0,0,0,0,0,0,0,0,0,678671.26465662,6329.33542159,0,309761.28259219,0,0,1333028.22151672,0,0,1590905.64213083,0,17912.01674778,0,1141224.31438053,684168.18818492,389527.52767847,10159.46372889,0,696424.36251016,81520.84232069,0,849816.80293744
"Orn_4.4",0,278157.26576642,0,0,0,0,0,0,0,0,116468.80726491,376089.54426311,0,19997.43183631,0,145184.30078577,0,117020.23180657,0,17372.95921357,0,0,0,0,0,0,0,0,0,144473.91532278,15216.26661957,0,66521.20630547,0,0,246733.73945437,0,0,309254.64398409,0,30033.72319336,0,214962.25038924,124248.89241496,73393.56230634,21719.00373548,0,138857.89755264,29795.92142234,0,172261.62772141
"Orn_5.5",0,6897791.37404845,0,92359.73746217,0,17661.592613,0,69401.90541502,0,65171.91166598,2873027.73503202,7628274.31573735,0,570463.12154552,46824.62787412,2904965.47471207,0,2198464.76285814,0,487933.62827131,0,0,0,0,0,0,0,0,0,2960626.47520592,334735.28414474,63958.41068071,1473864.47811952,0,0,5403396.50271052,89859.33359299,0,6778544.29366398,17949.32164335,732658.11262988,0,4279804.75629819,2500754.11169562,1673933.71220875,426264.76148406,0,3347311.74545122,753633.11059473,0,3556551.50428808
"Glu_0.0",11100030.8113708,9705489.22858862,10720505.2761807,10654605.150903,8004501.32121105,10789936.3445205,10910378.1528928,9260387.50087784,10794853.9033277,11464554.8752334,9402084.40186688,9053092.29456,11850710.4292345,9592380.61302653,8267501.18576593,8947021.68977443,10697658.2206431,11624193.2588514,8101390.54075164,11877172.0540542,9074944.72161368,5292797.67826111,12066760.8383102,9414757.57451405,11807793.7265108,12577567.5505197,12242882.8792207,13549621.9311793,9781587.29105953,7201398.94669801,9963699.54512,11162782.1560202,8244716.7951187,10160763.7654272,9327327.44564921,6806770.10876387,10453989.5692483,3932098.77585648,8488317.12908963,11071589.9032765,10306892.8757807,7945176.01927149,10167094.3184234,7164379.92999212,10328444.0706545,10284637.8803881,8799264.03046557,8732059.5301211,10192602.5243165,11923630.0030077,8828441.86166577
"Glu_1.0",10530.09089275,75170.74560983,57413.02397887,24582.93797112,8904.42321956,29869.64810819,6302.30655357,17480.98976256,13475.04620147,38215.94752554,41522.46964262,51940.81597503,31422.67248682,40471.02601059,27912.96312974,37528.00081423,37421.62504181,51117.48549502,20696.74719282,5684.93036795,25586.48957529,8243.75077842,26802.27383465,28446.66364134,27650.63554874,60835.91457036,27027.60516826,53348.50203822,31043.54253127,39184.64976317,30142.06739869,41874.44779306,26213.00849443,61535.05002188,16109.67959801,37674.26730406,16871.06532554,7572.22407343,40039.33660286,31077.36602262,27402.23863781,15187.28708869,67995.44169433,41875.92519289,45277.23491209,26345.89480167,15302.90925936,15226.05297602,13013.51388417,24503.40923122,23044.35967044
"Glu_1.1",0,217127.21001797,42365.99451317,35914.81092016,15276.66236199,63761.88875114,16956.34765153,26309.96170077,5733.27161707,50071.79048711,131701.58402658,205898.10130597,77363.07211923,94096.31511445,48833.79098195,174772.03950779,19159.29337283,104088.34193109,4673.67439326,5135.997417,52632.5272226,245822.85761454,8385.36854664,55782.0919335,25493.23436205,111585.06933151,54347.97970226,91697.09876564,39988.50248433,74207.65059183,28664.67402035,94975.64783007,96477.12246812,118241.62219777,65952.3417962,156583.92055136,6502.24280865,8007.02017332,92275.97627369,86927.25384597,30666.10594383,18427.30184075,210096.12625087,164802.29438996,140910.33903209,92937.84799779,63462.6079153,76154.70241271,0,45135.5164228,110104.35359719
"Glu_2.1",0,108172.41942187,0,0,0,0,0,0,2774.75530078,0,26839.19220231,104263.4871843,0,0,0,86295.03716471,0,39193.30688473,0,2734.60543346,0,2941.9533899,1083.04567435,615.9914771,718.43421903,0,0,0,0,29090.6772958,1441.36592289,0,27657.82637547,0,0,65795.32083014,0,0,93699.20138788,0,2768.74273049,0,108404.69763512,80359.79928144,36931.83066461,0,0,34915.27704716,5130.75650599,0,37792.20671466
"Glu_2.2",8894.77469248,52809.10069412,16266.46298063,5070.97554831,0,8869.26652103,10548.27786416,3169.05890024,5064.28801902,3566.64425446,14245.61618606,44111.5151853,842.58118679,13530.42838315,3865.93682117,41107.23094034,9733.89824281,21674.85057201,807.43252868,1204.72435286,4405.21372972,2701.64150351,16382.24473337,10328.33185763,6226.18672316,3788.56873048,0,16620.91878905,4930.20277334,14341.80863648,11257.45137897,2681.51701367,12668.2354336,2221.1645139,1081.63771835,24488.65443966,8927.92054686,7606.78758101,52490.72577474,8816.42723843,4025.90489898,748.27238063,45743.98383975,28016.43497777,30676.67396018,9987.87933163,2055.23353576,21672.30506138,16002.85373644,15158.82449067,21420.41962096
"Glu_3.2",0,593978.63918475,492.44223626,4460.45405895,241.70060422,1378.49433268,0,3105.84948049,1447.23689496,2646.54262376,180533.78949486,533226.53250772,0,31080.83187091,4356.52352487,503147.62240367,0,243114.78927025,593.6475204,50079.59830013,0,1204.68043818,746.00958588,0,0,110.05222866,0,0,0,166805.8493175,46155.02606003,3728.08965567,175985.68838579,0,10.27694681,366944.80251636,6365.13128725,0,519441.61907952,1672.88894168,28606.13191537,0,582107.71336311,409682.39167792,235342.18834875,51027.98118441,2122.48840509,203819.64712186,41561.09691395,622.35457274,205271.7398319
